Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,94.29166666666666,4,,0,0,94.29166666666666
1,1.0,29.49583333333333,1,1.0,26.764583333333334,1,2.7312499999999957
2,1.0,25.443749999999998,1,1.0,26.591666666666665,1,-1.1479166666666671
3,1.0,22.216666666666665,1,1.0,16.554166666666667,1,5.662499999999998
4,1.0,18.741666666666667,1,1.0,15.0,1,3.741666666666667
5,1.0,20.116666666666667,1,1.0,20.733333333333334,1,-0.6166666666666671
6,1.0,54.99583333333333,2,1.0,58.27291666666666,3,-3.27708333333333
9,1.0,28.15833333333333,1,1.0,26.816666666666666,1,1.341666666666665
10,1.0,66.42083333333332,3,1.0,77.13541666666666,4,-10.714583333333337
11,1.0,44.047916666666666,2,,0,0,44.047916666666666
13,1.0,21.672916666666666,1,1.0,41.75416666666666,2,-20.081249999999997
14,,28.93958333333333,1,,0,0,28.93958333333333
15,1.0,40.98125,2,,0,0,40.98125
16,1.0,19.9375,1,1.0,20.96875,1,-1.03125
17,1.0,61.756249999999994,2,,0,0,61.756249999999994
18,1.0,30.349999999999998,1,1.0,46.412499999999994,2,-16.062499999999996
20,,0,0,1.0,97.5375,1,-97.5375
21,1.0,54.15833333333333,2,1.0,17.585416666666667,1,36.572916666666664
22,1.0,91.57916666666667,4,1.0,51.756249999999994,2,39.82291666666667
23,,0,0,1.0,66.82291666666666,2,-66.82291666666666
26,1.0,37.21875,1,1.0,108.9,2,-71.68125
27,1.0,28.139583333333334,1,,0,0,28.139583333333334
28,,0,0,1.0,61.827083333333334,2,-61.827083333333334
29,,0,0,1.0,21.479166666666664,1,-21.479166666666664
30,1.0,51.95625,2,,0,0,51.95625
31,1.0,28.918749999999996,1,,0,0,28.918749999999996
32,1.0,30.0,2,1.0,15.329166666666666,1,14.670833333333334
33,1.0,15.0,1,1.0,15.0,1,0.0
34,1.0,41.729166666666664,2,1.0,32.71458333333333,1,9.014583333333334
35,1.0,26.960416666666667,1,,0,0,26.960416666666667
36,1.0,22.37083333333333,1,1.0,26.641666666666666,1,-4.270833333333336
37,,0,0,1.0,15.0,1,-15.0
38,1.0,18.435416666666665,1,,0,0,18.435416666666665
39,1.0,29.625,1,1.0,31.9625,1,-2.3374999999999986
40,1.0,18.322916666666664,1,1.0,24.552083333333332,1,-6.229166666666668
41,,15.0,1,,0,0,15.0
42,1.0,63.570833333333326,2,1.0,26.09583333333333,1,37.474999999999994
43,1.0,28.177083333333332,1,1.0,31.891666666666666,1,-3.7145833333333336
46,1.0,27.085416666666667,1,1.0,34.479166666666664,1,-7.393749999999997
47,1.0,54.74375,2,,0,0,54.74375
