Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,130,0,1,2,1,22,,2755.8,23,505.8,1000.0,2250.0,1.0,195.8,0.0,1.0,0.007692307692307693,195.8,0.0,-0.007692307692307693,528.7,1.4,195.8,1.5061538461538462,600,600,195.8,195.8,3501.3655419874094,0.0001220360816021125,7.842117034398475e-05
1,2,4,1,1,1,56,63,1408.9,57,623.3,1000.0,785.6000000000001,7.0,356.34285714285716,0.2857142857142857,1.0,3.5,730.1571428571427,0.37976190476190474,0.0,629.3,1.4,313.3,649.1500000000001,600,800,313.3,758.9,3748.64207059913,0.0001202238807913441,2.5195225089757565e-05
2,1,0,1,1,1,68,72,666.6,69,595.9,1000.0,70.70000000000005,3.0,374.8666666666666,0.6666666666666666,2.0,2.0,444.5,0.0,1.0,471.2,1.4,285.9,346.6,600,600,285.9,346.6,2947.397028853614,0.00012377694894065468,2.969070744265489e-06
3,2,4,1,1,1,53,63,1466.4,54,467.3,1000.0,999.1000000000001,6.0,235.75,0.16666666666666666,1.0,4.5,784.2888888888888,0.08873626373626373,1.0,915.4,1.4,157.3,652.4,600,800,157.3,786.4,8161.401576424755,5.9299855746012804e-05,7.259351879826916e-06
6,1,0,1,1,1,25,28,877.9,26,456.3,1000.0,421.59999999999997,6.0,231.0666666666667,0.16666666666666666,1.0,2.0,606.3,0.0,1.0,605.4,1.4,146.3,567.9,600,650,146.3,567.9,3885.139203619886,0.00011900831165654956,1.2914313121046719e-05
6,9,0,1,1,1,34,53,3087.9,35,310,1000.0,2777.9,2.0,98.8,0.5,1.0,0.2222222222222222,296.1,0.55,-0.2222222222222222,397.6,1.4,0.0,65.80000000000001,600,600,0,217.9,2692.764510998619,0.00012319936134102015,0.0001270944802159105
7,1,0,1,1,1,38,41,727.3,39,633.2,1000.0,94.09999999999991,3.0,377.8,0.3333333333333333,1.0,9.0,581.0111111111112,0.07142857142857142,1.0,506.3,1.4,323.2,417.3,600,600,323.2,417.3,3785.815423040028,0.00011990688892871022,2.980398404930985e-06
9,1,0,1,1,1,58,62,804.6,59,347.8,1000.0,456.8,11.0,182.62727272727273,0.6363636363636364,1.0,2.0,590.2,0.05555555555555555,-1.0,641.6,1.4,37.8,484.6,600,750,37.8,484.6,4629.61355131158,0.00011038927383163776,1.0892015008899908e-05
11,1,0,1,1,1,21,24,818.3,22,406.8,1000.0,411.49999999999994,7.0,218.1285714285714,0.42857142857142855,1.0,4.0,713.05,0.0,1.0,617.2,1.4,96.8,508.3,600,600,96.8,508.3,4371.688893142495,0.00011368977520635943,1.070143453501507e-05
12,3,3,1,1,1,45,54,1737.3,46,399.2,1000.0,1338.1,1.0,89.2,1.0,1.0,2.0,781.1999999999999,0.0,1.0,901.2,1.4,89.2,767.2999999999998,750,850,89.2,767.3,7148.63176359093,7.303076992113336e-05,1.3670094706679952e-05
13,1,0,1,1,1,67,70,664.2,68,433.1,1000.0,231.10000000000002,7.0,212.0,0.8571428571428571,1.0,13.0,528.4923076923077,0.35512820512820514,1.0,519.4,1.4,123.1,354.2,600,600,123.1,354.2,3824.647193016761,0.00011956433925723184,7.2245405675056705e-06
