Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,98.65208333333332,5,,0,0,98.65208333333332
3,,0,0,1.0,16.091666666666665,1,-16.091666666666665
4,1.0,28.58958333333333,1,1.0,30.12708333333333,1,-1.5375000000000014
5,1.0,96.79583333333333,4,0.75,75.54791666666667,3,21.24791666666667
6,1.0,99.19791666666666,4,1.0,74.425,3,24.77291666666666
7,1.0,48.61666666666667,2,0.14285714285714285,15.0,1,33.61666666666667
8,,0,0,0.3333333333333333,30.770833333333332,1,-30.770833333333332
9,1.0,28.84375,1,1.0,59.329166666666666,2,-30.485416666666666
10,,0,0,1.0,15.0,1,-15.0
11,0.6666666666666666,39.62708333333333,2,1.0,33.637499999999996,1,5.989583333333336
12,,0,0,1.0,22.754166666666666,1,-22.754166666666666
13,1.0,42.86458333333333,2,0.0,0,0,42.86458333333333
14,,0,0,1.0,22.739583333333332,1,-22.739583333333332
15,1.0,15.0,1,1.0,47.141666666666666,2,-32.141666666666666
16,,0,0,0.25,15.829166666666666,1,-15.829166666666666
17,1.0,45.860416666666666,2,,0,0,45.860416666666666
18,1.0,32.31458333333333,1,,0,0,32.31458333333333
19,1.0,24.5875,1,1.0,46.9625,2,-22.375
20,,0,0,1.0,15.0,1,-15.0
22,1.0,33.90625,2,1.0,25.122916666666665,1,8.783333333333335
23,1.0,33.40625,2,0.75,50.108333333333334,3,-16.702083333333334
25,,0,0,0.3333333333333333,23.143749999999997,1,-23.143749999999997
26,,0,0,1.0,26.53333333333333,1,-26.53333333333333
27,1.0,38.099999999999994,2,0.75,70.16458333333333,3,-32.06458333333333
28,1.0,19.237499999999997,1,0.2,19.795833333333334,1,-0.5583333333333371
29,1.0,33.360416666666666,1,0.5,51.204166666666666,2,-17.84375
30,1.0,55.99791666666667,2,1.0,28.28125,1,27.71666666666667
31,1.0,53.56875,2,0.0,0,0,53.56875
32,1.0,25.506249999999998,1,0.2,22.79375,1,2.7124999999999986
33,1.0,20.35625,1,1.0,24.445833333333333,1,-4.089583333333334
34,1.0,15.0,1,0.6666666666666666,41.849999999999994,2,-26.849999999999994
35,1.0,29.699999999999996,1,1.0,44.262499999999996,2,-14.5625
36,1.0,25.77708333333333,1,,0,0,25.77708333333333
37,1.0,48.96458333333333,2,0.6666666666666666,57.006249999999994,2,-8.041666666666664
38,1.0,99.40625,4,1.0,29.785416666666666,1,69.62083333333334
39,1.0,20.991666666666667,1,1.0,44.47083333333333,2,-23.479166666666664
43,1.0,25.427083333333332,1,0.5,71.68958333333333,3,-46.2625
44,1.0,175.57916666666665,6,0.1111111111111111,20.083333333333332,1,155.4958333333333
46,,0,0,1.0,27.73125,1,-27.73125
