Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
1,1,0,143,2,2,78,,3517.2,,3372.5,500.0,144.69999999999982,0.013986013986013986,569.75,1.0,-0.006993006993006993,1.0,697.2,0.0,-1.0,512.6,1.4,3.8636363636363638,697.2,600,700,552.5,697.2,2819.943954812838,0.00019144904165190922,9.823839328349304e-06
2,1,5,1,1,1,14,21,906.5,16,848.4,500.0,58.10000000000002,4.0,498.82500000000005,0.25,1.0,9.0,521.1222222222223,0.1111111111111111,1.0,489.9,1.4,447.3,447.3,400,400,528.4,556.5,682.0789985495356,0.0001951872343926733,1.66261948283557e-05
5,1,0,5,1,1,34,49,774.4,47,2122.8,500.0,-1348.4,1.0,492.8,0.0,-1.0,1.0,344.4,0.0,-1.0,159.4,1.4,492.8,344.4,500,400,492.8,344.4,514.8122763362513,0.00016487330459156286,-0.0004318373398035627
8,1,0,1,1,1,7,10,637.4,8,538.2,500.0,99.19999999999993,6.0,355.6499999999999,0.0,1.0,3.0,361.0666666666666,0.0,1.0,145.8,1.4,228.2,327.4,400,400,228.2,327.4,838.2814879105248,0.00021595113085841588,2.555508202209207e-05
11,2,1,1,1,1,71,77,940.9,72,459.2,500.0,481.7,10.0,235.01,0.5,1.0,2.5,292.73999999999995,0.3,0.0,282.2,1.4,59.8,180.35,400,400,149.2,300.9,1814.7426397538238,0.00024232819679008744,6.432289066047397e-05
12,1,0,1,1,1,73,76,568.1,74,460.8,500.0,107.30000000000001,7.0,257.00000000000006,0.5714285714285714,1.0,3.0,346.26666666666665,0.5,1.0,415.4,1.4,150.8,258.1,400,400,150.8,258.1,2358.3668735518386,0.00021843528325182014,9.938278117696398e-06
12,1,0,1,1,1,89,92,600.4,90,310,500.0,290.4,8.0,367.0375,0.375,1.0,8.0,426.65,0.2791666666666667,1.0,425.7,1.4,0.0,290.4,400,400,0,290.4,3279.9920884917337,0.00016339307861079275,1.4466300145983962e-05
13,1,0,1,1,1,54,57,511.1,55,511.1,500.0,0.0,6.0,259.18333333333334,0.611111111111111,1.0,6.0,301.56666666666666,0.6666666666666666,1.0,329.9,1.4,201.1,201.1,400,400,201.1,201.1,2761.544104343693,0.00019499901350458364,0.0
13,3,8,1,1,1,84,95,1482.4,85,310,500.0,1172.4,14.0,244.9428571428571,0.42857142857142855,1.0,3.6666666666666665,487.11818181818177,0.4454545454545454,1.0,521.7,1.4,0.0,454.93333333333334,400,400,0,492.4,4021.5433771635808,0.00012162721169682441,3.545796467174516e-05
14,1,0,159,2,2,45,,3617.5,,3640.7,500.0,-23.199999999999818,0.006289308176100629,490.7,1.0,-0.006289308176100629,1.0,467.5,0.0,-1.0,266,1.4,3.0861635220125785,467.5,500,500,490.7,467.5,1355.704175131828,0.0002465531859288187,-4.2192345634639186e-06
15,140,0,1,2,1,81,,3316.1,82,489.8,500.0,2826.2999999999997,2.0,303.45000000000005,1.0,2.0,0.007142857142857143,546.1,0.0,-0.007142857142857143,551.1,1.4,179.8,3.900714285714286,400,550,179.8,546.1,3843.888135879061,0.0001310175749022601,9.633344125962052e-05
17,1,0,1,1,1,44,47,485.3,45,485.3,500.0,0.0,7.0,332.4142857142857,0.2857142857142857,1.0,4.0,277.55,0.0,1.0,282.2,1.4,175.3,175.3,400,400,175.3,175.3,985.7791744753312,0.0002299525085657503,0.0
18,1,0,1,1,1,40,43,520.2,41,478.3,500.0,41.900000000000034,3.0,283.7,0.0,1.0,3.0,414.1333333333334,0.0,1.0,269.6,1.4,168.3,210.2,400,400,168.3,210.2,1046.791098498693,0.00023436212563101547,9.380833556975282e-06
19,1,0,1,1,1,53,56,438.7,54,394,500.0,44.69999999999999,13.0,219.3923076923077,0.3076923076923077,1.0,5.0,262.41999999999996,0.1,1.0,290.1,1.4,84.0,128.7,400,400,84,128.7,2115.442912200952,0.0002307324813324043,4.87545272721533e-06
22,29,0,1,1,1,24,83,9342.2,25,403.8,500.0,8938.400000000001,5.0,255.92,0.0,1.0,4.758620689655173,230.4282608695647,0.4915458937198066,1.0,200.5,1.4,93.8,93.05517241379312,400,400,93.8,72.2,882.6215273002466,0.00022068940161288736,0.0022349445219293843
26,1,0,1,1,1,67,70,593.2,68,561.9,500.0,31.300000000000068,4.0,318.625,0.5,1.0,8.0,417.325,0.3958333333333333,1.0,267.3,1.4,251.9,283.2,400,400,251.9,283.2,1841.5273726925634,0.00024151220598762056,4.104925161313116e-06
28,1,0,1,1,1,38,41,689.9,39,689.9,500.0,0.0,2.0,387.79999999999995,0.25,-1.0,4.0,483.35,0.0,1.0,457.1,1.4,379.9,379.9,400,400,379.9,379.9,1707.2083301814528,0.000245077241276171,0.0
28,1,0,1,1,1,56,59,310,57,310,500.0,0,5.0,213.36000000000004,0.7333333333333333,1.0,8.0,296.15,0.5416666666666667,1.0,317.3,1.4,0.0,0.0,400,400,0,0,961.2383904765509,0.0002279616613278868,0.0
29,147,0,6,2,1,58,,3245.5,70,2265.5,500.0,980.0,0.16666666666666666,345.5,1.0,0.3333333333333333,0.006802721088435374,345.5,1.0,-0.006802721088435374,207.7,1.4,57.583333333333336,2.3503401360544216,400,400,345.5,345.5,1373.7177916702076,0.0002468190176656821,0.00017607884150519753
