Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
1,1.0,23.24375,1,0.5,67.24583333333332,3,-44.002083333333324
4,,0,0,0.125,15.527083333333334,1,-15.527083333333334
5,,0,0,0.125,48.699999999999996,1,-48.699999999999996
7,1.0,68.36041666666667,3,0.3333333333333333,67.23541666666667,3,1.125
9,1.0,24.22083333333333,1,,0,0,24.22083333333333
10,1.0,30.0,2,0.75,66.84791666666666,3,-36.84791666666666
11,1.0,15,1,1.0,36.43958333333333,2,-21.43958333333333
12,1.0,15.741666666666667,1,0.125,30.6125,1,-14.870833333333334
13,1.0,15,1,,0,0,15
15,,0,0,0.25,16.80625,1,-16.80625
16,,0,0,0.14285714285714285,34.635416666666664,2,-34.635416666666664
17,,0,0,0.2,20.922916666666666,1,-20.922916666666666
18,1.0,44.21041666666667,2,0.0,0,0,44.21041666666667
19,1.0,38.99375,2,,0,0,38.99375
23,1.0,25.55625,1,0.4,39.30416666666667,2,-13.747916666666669
24,0.2857142857142857,56.75416666666666,2,0.1,23.43125,1,33.322916666666664
25,1.0,17.84375,1,,0,0,17.84375
26,,0,0,0.2857142857142857,42.14583333333333,2,-42.14583333333333
27,,0,0,0.3333333333333333,15.0,1,-15.0
28,,0,0,0.25,29.5875,1,-29.5875
29,1.0,24.7,1,0.13333333333333333,46.55416666666666,2,-21.85416666666666
30,1.0,28.62708333333333,1,,0,0,28.62708333333333
31,1.0,71.70416666666667,3,0.4,39.14375,2,32.56041666666667
32,1.0,18.504166666666666,1,0.25,49.28333333333333,2,-30.779166666666665
33,1.0,25.943749999999998,1,,0,0,25.943749999999998
34,,0,0,0.1111111111111111,26.68125,1,-26.68125
35,1.0,18.65208333333333,1,0.1,27.5625,1,-8.91041666666667
36,1.0,17.697916666666664,1,1.0,22.025,1,-4.327083333333334
37,1.0,25.508333333333333,1,0.0,0,0,25.508333333333333
38,1.0,84.77708333333332,4,0.25,56.775,3,28.002083333333324
39,1.0,39.575,2,0.25,17.327083333333334,1,22.24791666666667
40,,0,0,0.1,58.6125,1,-58.6125
42,1.0,32.043749999999996,1,0.2857142857142857,63.77083333333333,2,-31.727083333333333
43,1.0,142.37708333333333,6,0.2857142857142857,45.14791666666666,2,97.22916666666667
44,1.0,35.4,2,0.16666666666666666,17.43125,1,17.96875
46,1.0,94.45833333333331,3,1.0,67.05208333333333,2,27.406249999999986
47,1.0,39.610416666666666,2,0.0,0,0,39.610416666666666
