Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,1,0,1,1,1,29,32,449.5,30,449.5,500.0,0.0,4.0,284.2,0.25,1.5,4.0,272.5,0.05,1.5,183,1.4,139.5,139.5,500,400,139.5,139.5,665.9796917714749,0.00019265613314184649,0.0
0,2,3,1,1,1,39,46,950.7,40,310,500.0,640.7,7.0,250.07142857142858,0.42857142857142855,1.0,6.0,617.2416666666667,0.48888888888888893,1.0,434.8,1.4,0.0,283.35,400,400,0,300.7,2815.937175769391,0.00019169319087358993,4.361525834082285e-05
1,1,0,1,1,1,32,35,619.2,33,554.2,500.0,65.0,5.0,308.91999999999996,0.4,1.0,2.0,339.1,0.0,1.0,345.6,1.4,244.2,309.2,400,400,244.2,309.2,2544.342105766043,0.000207938323627304,5.312175200475018e-06
2,4,3,1,1,1,84,97,1683.1,85,683.1,500.0,999.9999999999999,1.0,373.1,1.0,-1.0,3.0,633.4000000000001,0.39524711399711404,1.0,266.6,1.4,373.1,373.1,400,500,373.1,373.1,1806.0895310255808,0.00024258118084812027,0.00013431293226663657
5,4,3,1,1,1,90,104,1769.1,91,375,500.0,1394.1,10.0,230.31000000000003,0.6900000000000001,1.0,2.5,793.6200000000001,0.2301190476190476,1.0,619.2,1.4,65.0,449.1,400,550,65,449.1,4144.3067495204,0.00011540152433413776,3.8819825557758096e-05
8,1,0,1,1,1,89,92,554.9,90,554.9,500.0,0.0,4.0,317.425,0.25,1.0,3.0,324.6333333333333,0.3416666666666666,1.0,393.8,1.4,244.9,244.9,400,400,244.9,244.9,1162.7416306772377,0.00024078164799877337,0.0
10,1,0,1,1,1,43,46,409.3,44,409.3,500.0,0.0,8.0,360.2,0.625,1.0,8.0,337.4,0.6708333333333334,1.0,109.9,1.4,99.3,99.3,400,400,99.3,99.3,522.0106337917903,0.00016637077297897032,0.0
11,5,4,1,1,1,34,49,2096.2,35,446.8,500.0,1649.3999999999999,6.0,316.8333333333333,0.16666666666666666,1.0,1.0,466.2,0.0,1.0,533.4,1.4,136.8,466.2,400,500,136.8,466.2,2014.226923096948,0.00023517806388521787,0.00019258142869814474
12,1,0,1,1,1,59,62,586.4,60,569.4,500.0,17.0,6.0,298.50000000000006,0.16666666666666666,1.0,6.0,298.50000000000006,0.2333333333333333,1.0,241.1,1.4,259.4,259.4,400,450,259.4,276.4,702.0211934598711,0.0001982160095410218,4.799957883878313e-06
13,6,14,1,1,1,45,68,2508.8,46,355.5,500.0,2153.3,4.0,206.8,0.5,1.0,3.5,590.5904761904762,0.19920634920634922,1.0,438.2,1.4,45.5,518.3333333333334,400,500,45.5,498.8,2324.0632782873854,0.00022028493975979877,0.0002040992451523601
14,1,0,1,1,1,41,44,659,42,536,500.0,123,6.0,434.3666666666666,0.5,1.0,9.0,446.35555555555555,0.5444444444444445,1.0,399.9,1.4,226.0,349.0,400,400,226,349,3051.3975625348294,0.00017728328588145938,7.1461825988040546e-06
14,1,0,1,1,1,80,84,649.2,82,649.2,500.0,0.0,3.0,322.56666666666666,0.6666666666666666,1.0,2.0,350.25,0.3333333333333333,-1.0,201.3,1.4,267.2,329.2,600,400,329.2,329.2,1012.6782265532048,0.00023198963080196553,0.0
15,1,0,141,2,2,82,,3065.9,,3133.7,500.0,-67.79999999999973,0.0070921985815602835,353.7,0.0,-0.0070921985815602835,2.0,319.79999999999995,0.0,1.0,238,1.4,2.508510638297872,285.9,400,400,353.7,285.9,1171.4529814160887,0.00024116766430972713,-1.3958022984783934e-05
