Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
1,2,4,1,1,1,47,56,1197.8,48,677.9,500.0,519.9,3.0,340.46666666666664,0.16666666666666666,1.0,3.0,497.2,0.0,1.0,418.3,1.4,239.2,425.5,400,600,367.9,527.8,2529.627732424174,0.0002087930373714394,4.2912045412067436e-05
3,1,0,142,2,2,80,,3189.7,,3189.7,500.0,0.0,0.007042253521126761,389.7,1.0,-0.007042253521126761,1.0,389.7,0.0,-1.0,152.9,1.4,2.7443661971830986,389.7,400,400,389.7,389.7,315.3147727640423,0.00011549152685370688,0.0
4,1,0,1,1,1,48,51,503.8,49,503.8,500.0,0.0,3.0,287.3333333333333,0.3333333333333333,1.0,3.0,300.40000000000003,0.6666666666666666,1.0,71.9,1.4,193.8,193.8,400,400,193.8,193.8,392.35180704418025,0.0001364479203610416,0.0
4,1,0,1,1,1,59,62,310,60,310,500.0,0,6.0,298.7666666666667,0.5,1.0,7.0,319.54285714285714,0.5680272108843537,1.0,358.1,1.4,0.0,0.0,400,400,0,0,1081.4632434537655,0.00023654078070749275,0.0
5,1,0,1,1,1,39,42,648.4,40,449.6,500.0,198.79999999999995,11.0,217.85454545454547,0.2727272727272727,1.0,3.0,464.5,0.4444444444444444,2.0,603,1.4,139.6,338.4,400,400,139.6,338.4,3545.3208915074465,0.00014773127832154519,8.283870213462027e-06
6,1,0,1,1,1,19,23,361.7,21,361.7,500.0,0.0,5.0,236.28000000000003,0.0,1.0,6.0,296.98333333333335,0.16666666666666666,1.0,184.7,1.4,41.7,41.7,400,400,41.7,41.7,1339.066688197438,0.0002462693125730312,0.0
8,1,0,1,1,1,54,57,458.6,55,414.8,500.0,43.80000000000001,17.0,238.44705882352937,0.38235294117647056,1.0,11.0,391.89090909090913,0.3409090909090909,1.0,435.6,1.4,104.8,148.6,400,400,104.8,148.6,2199.211948698538,0.00022672139424065289,4.515434300735437e-06
8,1,0,1,1,1,64,67,589.8,65,310,500.0,279.79999999999995,9.0,197.79999999999998,0.5,1.0,7.0,349.3857142857143,0.2619047619047619,1.0,505.8,1.4,0.0,279.8,400,400,0,279.8,3366.712616058452,0.00015820576506517454,1.3148129381194348e-05
9,1,0,1,1,1,20,23,486.2,21,486.2,500.0,0.0,1.0,176.2,0.0,1.0,1.0,176.2,0.0,1.0,218.6,1.4,176.2,176.2,400,400,176.2,176.2,283.34419774927375,0.00010603853598178547,0.0
10,1,0,1,1,1,26,29,395.5,27,395.5,500.0,0.0,15.0,204.42666666666668,0.13333333333333333,1.0,10.0,182.62999999999997,0.15,1.0,205.9,1.4,85.5,85.5,400,400,85.5,85.5,1793.8703233059578,0.00024292936414074755,0.0
10,1,2,1,1,1,45,49,648.3,46,310,500.0,338.29999999999995,12.0,257.975,0.5,1.0,8.0,475.3,0.3125,1.0,433.5,1.4,0.0,229.3,400,400,0,328.3,2734.6134902071326,0.00019662874983491827,2.432501203821471e-05
11,1,0,1,1,1,87,90,511.4,88,511.4,500.0,0.0,6.0,291.3666666666667,0.16666666666666666,1.0,5.0,272.44,0.48,1.0,165.5,1.4,201.4,201.4,400,400,201.4,201.4,852.5681921504397,0.00021753009867039858,0.0
12,1,0,1,1,1,42,46,707,43,583,500.0,124,2.0,291.65,0.5,1.0,1.0,387.0,0.0,1.0,364,1.4,273.0,387.0,400,400,273,387,2735.823779147791,0.00019655562269120787,8.908796465429484e-06
12,140,0,1,2,1,81,,3079.3,82,619.3,500.0,2460.0,4.0,479.925,0.25,-1.0,0.02857142857142857,522.35,0.0,-0.007142857142857143,328.5,1.4,309.3,2.2092857142857145,400,400,309.3,309.3,2033.8959989487062,0.00023435204585196343,0.00028344912084679765
13,7,0,1,1,1,34,50,2636.6,35,436.9,500.0,2199.7,4.0,333.575,0.25,1.0,0.14285714285714285,396.6,1.0,0.14285714285714285,514.7,1.4,126.9,56.65714285714286,400,400,126.9,396.6,2484.9220937182486,0.00021136723690179488,0.00018710627274321124
14,1,0,1,1,1,36,39,496.1,37,442.8,500.0,53.30000000000001,2.0,159.45,0.5,1.0,3.0,322.09999999999997,0.3333333333333333,-1.0,360.3,1.4,132.8,186.1,400,400,132.8,186.1,1228.3093695795944,0.0002433802625752995,1.056099409198789e-05
14,1,0,1,1,1,76,79,405.8,77,405.8,500.0,0.0,9.0,241.57777777777775,0.7777777777777778,1.0,3.0,218.5666666666667,0.39999999999999997,1.0,347.7,1.4,95.8,95.8,400,400,95.8,95.8,1934.5726956226463,0.00023831583463105238,0.0
17,3,2,1,1,1,58,70,1609.7,59,534.1,500.0,1075.6,2.0,331.3,0.0,1.0,1.0,609.7,0.0,1.0,392.3,1.4,224.1,609.7,400,650,224.1,609.7,2143.426816895196,0.00022942335193438165,0.0001151276803087076
17,1,0,1,1,1,79,82,608.5,80,352.8,500.0,255.7,7.0,167.58571428571426,0.7142857142857143,1.0,18.0,505.47222222222223,0.6104497354497354,1.0,441.9,1.4,42.8,298.5,400,400,42.8,298.5,3087.50139704562,0.00017507518566255446,1.4499337560381909e-05
18,1,0,2,1,1,40,46,924.5,44,1062.7,500.0,-138.20000000000005,1.0,422.7,0.0,-1.0,1.0,584.5,0.0,1.0,516.1,1.4,422.7,584.5,400,400,422.7,584.5,2568.1319015878885,0.00020654926165293385,-1.1115125334016485e-05
19,1,0,1,1,1,50,53,500.5,51,500.5,500.0,0.0,3.0,235.03333333333333,0.3333333333333333,1.0,4.0,288.575,0.0,1.0,187.6,1.4,190.5,190.5,400,400,190.5,190.5,760.3040381469243,0.00020641549116501873,0.0
20,1,0,1,1,1,46,49,430.5,47,430.5,500.0,0.0,8.0,214.4625,0.375,1.0,7.0,229.4857142857143,0.35714285714285715,1.0,179.3,1.4,120.5,120.5,400,400,120.5,120.5,1195.4246848418325,0.0002421645449852978,0.0
23,1,0,1,1,1,52,55,515.1,53,515.1,500.0,0.0,8.0,275.375,0.375,1.0,10.0,301.76,0.22333333333333333,1.0,197.8,1.4,205.1,205.1,400,400,205.1,205.1,809.1624960259172,0.00021257469010405822,0.0
23,1,0,1,1,1,82,85,403.6,83,310,500.0,93.60000000000002,20.0,211.1,0.4,1.0,7.0,233.45714285714286,0.4006802721088435,1.0,329.6,1.4,0.0,93.6,400,400,0,93.6,2164.248624031823,0.00022842877522028144,9.879148413543805e-06
24,1,0,1,1,1,33,36,412.1,34,412.1,500.0,0.0,4.0,223.425,0.0,1.0,3.0,193.5,0.0,1.0,153.6,1.4,102.1,102.1,400,400,102.1,102.1,909.4878170300742,0.00022333254291915616,0.0
25,1,2,1,1,1,28,33,1617.2,29,623.1,500.0,994.1,3.0,343.76666666666665,0.3333333333333333,1.0,4.0,1224.275,0.0,1.0,1205.8,1.4,313.1,1090.5,400,400,313.1,1287.2,9108.636615877065,8.981678080593222e-06,9.802439768377986e-07
27,1,0,1,1,1,44,47,536.6,45,536.6,500.0,0.0,2.0,230.55,0.5,1.0,3.0,300.8333333333333,0.0,1.0,287.8,1.4,226.6,226.6,400,400,226.6,226.6,1563.1866370116593,0.0002472398718851281,0.0
28,1,1,1,1,1,83,86,1112.5,84,558.4,500.0,554.1,5.0,382.19999999999993,0.6,1.0,5.0,807.5799999999999,0.2942857142857143,1.0,879.9,1.4,248.4,743.5,400,400,248.4,802.5,7306.099609487624,2.4232157415662046e-05,1.837784747224378e-06
30,1,0,1,1,1,62,66,653,63,399.5,500.0,253.5,15.0,258.20666666666665,0.5666666666666667,1.0,7.0,401.0285714285714,0.05714285714285715,1.0,344.2,1.4,89.5,333.0,400,450,89.5,333,2499.8282271778266,0.00021051287006339193,2.1347471790618238e-05
31,1,0,1,1,1,12,15,657.9,13,422.4,500.0,235.5,11.0,232.99090909090907,0.0,1.0,1.0,347.9,1.0,-1.0,626.6,1.4,112.4,347.9,400,400,112.4,347.9,4577.303502565426,9.524088713305066e-05,4.9000965103717926e-06
31,1,0,1,1,1,32,35,310,33,310,500.0,0,7.0,227.54285714285712,0.2857142857142857,1.0,5.0,193.82,0.5,1.0,175.3,1.4,0.0,0.0,400,400,0,0,539.0397714299168,0.00016984064285491583,0.0
