Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
1,1,0,1,1,1,71,74,524.1,72,524.1,500.0,0.0,5.0,389.12,1.0,1.0,11.0,498.25454545454545,0.8484848484848484,1.0,496.8,1.4,214.1,214.1,400,400,214.1,214.1,2414.164505878781,0.00021536299774795064,0.0
3,1,1,1,1,1,0,3,519,1,508.6,500.0,10.399999999999977,3.0,257.1333333333334,0.0,1.0,3.0,257.1333333333334,0.0,1.0,290.8,1.4,198.6,198.6,400,400,198.6,209,687.2722336098769,0.0001959872309172102,2.965734830917064e-06
3,1,0,1,1,1,21,24,310,22,310,500.0,0,3.0,247.86666666666667,0.6666666666666666,1.0,4.0,344.425,0.5,1.0,373.1,1.4,0.0,0.0,400,400,0,0,1674.03657878935,0.0002457401114831573,0.0
3,1,0,1,1,1,82,85,527.3,83,421.2,500.0,106.09999999999997,13.0,254.93076923076922,0.8461538461538461,1.0,12.0,342.2833333333333,0.9444444444444443,1.0,427.2,1.4,0.0,0.0,400,400,111.2,217.3,1958.7667679725732,0.0002373994499430614,1.2859153039965956e-05
5,1,0,1,1,1,41,44,613.6,42,565.3,500.0,48.30000000000007,1.0,255.3,0.0,1.0,2.0,330.0,0.0,1.0,484.6,1.4,255.3,303.6,400,400,255.3,303.6,3283.738616286518,0.00016316781364631187,2.4000099642611835e-06
5,1,0,1,1,1,74,77,635.5,75,501.7,500.0,133.8,6.0,245.78333333333333,0.6666666666666666,1.0,5.0,476.66,0.8,1.0,502.1,1.4,0.0,325.5,400,400,191.7,325.5,3704.8587146631517,0.00013866366004597181,5.007801685046956e-06
6,5,0,1,1,1,40,51,2088.8,41,565.8,500.0,1523.0000000000002,4.0,269.2,0.25,1.0,0.2,498.8,1.0,0.2,477.7,1.4,233.0,99.76,400,400,255.8,498.8,3317.3030386766955,0.0001611542095658401,7.398716918749818e-05
6,1,0,1,1,1,57,60,310,58,310,500.0,0,13.0,176.57692307692307,0.6153846153846154,1.0,12.0,176.04166666666666,0.5,1.0,105.5,1.4,0.0,0.0,400,400,0,0,624.3583448096963,0.0001857461689220225,0.0
6,1,0,1,1,1,72,75,621.3,73,310,500.0,311.29999999999995,8.0,273.675,0.625,1.0,8.0,379.3875,0.9166666666666667,1.0,395.5,1.4,0.0,311.3,400,400,0,311.3,2176.2417086126056,0.00022784827177278465,3.259250418837276e-05
10,1,0,1,1,1,42,45,667.5,43,584.4,500.0,83.10000000000002,4.0,298.25,0.5,1.0,5.0,524.42,0.0,1.0,488.5,1.4,244.1,357.5,400,400,274.4,357.5,3774.056651315109,0.00013482670045038752,2.9687150571846934e-06
