Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,0.6666666666666666,51.80208333333333,2,0.0,0,0,51.80208333333333
1,1.0,54.24583333333333,3,,0,0,54.24583333333333
2,1.0,25.429166666666667,1,,0,0,25.429166666666667
3,,0,0,0.6666666666666666,93.26666666666665,2,-93.26666666666665
4,1.0,192.75625,8,0.0,0,0,192.75625
5,1.0,93.56875,4,1.0,20.537499999999998,1,73.03125
6,1.0,79.81458333333333,3,0.3333333333333333,26.579166666666666,1,53.235416666666666
8,,0,0,1.0,29.191666666666666,1,-29.191666666666666
9,1.0,45.02499999999999,2,0.2,29.691666666666666,1,15.333333333333325
10,,0,0,1.0,24.083333333333332,1,-24.083333333333332
11,1.0,45.21458333333333,2,0.0,0,0,45.21458333333333
12,,0,0,0.5,23.68958333333333,1,-23.68958333333333
13,1.0,23.372916666666665,1,0.0,0,0,23.372916666666665
14,1.0,19.333333333333332,1,1.0,47.797916666666666,2,-28.464583333333334
15,1.0,96.53333333333333,4,0.0,0,0,96.53333333333333
16,1.0,67.58333333333333,2,0.25,50.074999999999996,1,17.508333333333333
17,1.0,45.70625,2,,0,0,45.70625
18,1.0,69.01875,3,0.125,18.80833333333333,1,50.21041666666667
20,1.0,24.083333333333332,1,0.2,35.24583333333333,2,-11.162499999999998
21,,0,0,0.3333333333333333,20.0625,1,-20.0625
23,1.0,28.816666666666666,1,0.6666666666666666,56.5625,2,-27.745833333333334
25,1.0,63.83541666666666,3,0.4,40.2375,2,23.597916666666663
26,,0,0,0.5,23.966666666666665,1,-23.966666666666665
28,1.0,54.44583333333333,2,,0,0,54.44583333333333
29,,0,0,1.0,70.24166666666666,3,-70.24166666666666
31,1.0,43.010416666666664,2,1.0,55.77499999999999,1,-12.764583333333327
32,1.0,47.68333333333333,2,1.0,65.86041666666667,3,-18.177083333333336
33,1.0,45.360416666666666,2,0.5,28.539583333333333,1,16.820833333333333
34,1.0,33.25,1,1.0,23.827083333333334,1,9.422916666666666
35,1.0,104.47916666666667,5,0.5,28.116666666666667,1,76.36250000000001
36,,0,0,0.13333333333333333,61.77395833333333,2,-61.77395833333333
37,,0,0,0.4,47.474999999999994,2,-47.474999999999994
39,1.0,22.09583333333333,1,0.125,17.316666666666666,1,4.779166666666665
40,1.0,15.0,1,1.0,36.137499999999996,1,-21.137499999999996
41,1.0,24.30625,1,1.0,20.68333333333333,1,3.6229166666666686
42,1.0,42.31458333333333,2,1.0,43.070833333333326,2,-0.7562499999999943
44,1.0,48.297916666666666,2,1.0,15.0,1,33.297916666666666
47,,0,0,0.2,23.664583333333333,1,-23.664583333333333
