Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
2,1,0,1,1,1,56,59,687.4,57,461.8,1000.0,225.59999999999997,5.0,269.58000000000004,0.2,1.0,4.0,377.0,0.0,1.0,538.2,1.4,151.8,373.6,400,400,151.8,377.4,3522.9750991414985,0.00012189969321728402,7.806064481273453e-06
5,7,39,1,1,1,70,107,2895.4,71,542.7,1000.0,2352.7,7.0,356.18571428571425,0.0,1.0,7.0,618.8183673469387,0.13510712643365705,1.0,650.5,1.4,232.7,492.2000000000001,400,450,232.7,445.4,3768.4672882942205,0.00012005617359777517,7.495253056882394e-05
15,1,1,1,1,1,62,66,539.7,63,422.1,1000.0,117.60000000000002,6.0,239.88333333333333,0.0,1.0,7.0,288.8,0.0,1.0,173.1,1.4,112.1,112.1,700,400,112.1,219.7,998.275957808573,8.077425797720883e-05,9.515457788818426e-06
18,1,1,1,1,1,77,82,950.3,78,474.3,1000.0,475.99999999999994,5.0,290.12,0.0,1.0,6.0,641.9666666666667,0.07407407407407407,1.0,574.3,1.4,164.3,546.0,650,650,164.3,620.3,3246.8858133660115,0.00012328335359818978,1.80735879503882e-05
20,2,0,1,1,1,69,74,1077.1,70,670.5,1000.0,406.5999999999999,2.0,349.0,0.0,1.0,8.0,562.65,0.140625,1.0,593.4,1.4,337.5,402.5,400,450,360.5,447.1,3789.1545582427602,0.00011987788661451877,1.2863647536211306e-05
20,1,0,1,1,1,90,93,310,91,310,1000.0,0,4.0,157.2,0.5,1.0,7.0,264.2285714285714,0.26587301587301587,1.0,237.7,1.4,0.0,0.0,400,400,0,0,1122.3779076076785,8.710171391858761e-05,0.0
22,146,32,1,2,1,55,,3567.6,56,590.9,1000.0,2976.7,5.0,320.56000000000006,0.0,1.0,4.123287671232877,812.6609634551495,0.0010876443600696091,0.9931506849315068,781.9,1.4,280.9,695.5650684931506,400,600,280.9,857.6,5170.264371597284,0.00010277574746755505,5.917155207136097e-05
31,1,0,1,1,1,79,82,400.3,80,400.3,1000.0,0.0,8.0,235.66249999999997,0.25,1.0,4.0,251.75,0.0625,1.0,356.9,1.4,90.3,90.3,400,400,90.3,90.3,2208.154599486831,0.00011891993204316477,0.0
35,7,6,1,1,1,89,110,2874,90,591.8,1000.0,2282.2,3.0,320.8333333333333,0.0,1.0,1.0,584.0,0.0,1.0,404.2,1.4,281.8,584.0,650,600,281.8,584,2334.757493649412,0.00012049436067870735,0.00011778192411371646
40,8,43,1,1,1,0,52,3541.8,1,370.5,1000.0,3171.3,4.0,218.025,0.0,1.0,7.0,935.9285714285718,0.0,1.0,1006.5,1.4,60.5,641.8000000000001,400,650,60.5,641.8,6402.721829729533,8.407094713122291e-05,4.164075868473419e-05
49,1,0,1,1,1,83,86,780,84,450.7,1000.0,329.3,4.0,197.79999999999998,0.0,1.0,6.0,622.2333333333333,0.015151515151515152,1.0,637,1.4,140.7,470.0,400,550,140.7,470,4022.8252438475643,0.00011764733290261247,9.630362836188442e-06
55,1,0,1,1,1,86,89,540.1,87,432.1,1000.0,108.0,4.0,208.85000000000002,0.25,1.0,3.0,413.1333333333334,0.0,1.0,434.8,1.4,122.1,230.1,400,400,122.1,230.1,2612.3844078270236,0.0001227984686815711,5.076678063869315e-06
72,1,0,1,1,1,72,75,533,73,533,1000.0,0,5.0,277.4,0.0,1.0,3.0,243.9,0.0,1.0,327.8,1.4,223.0,223.0,400,400,223,223,1688.9081416769593,0.0001083197552852089,0.0
76,1,0,1,1,1,63,66,503.1,64,489.9,1000.0,13.200000000000045,7.0,290.2571428571428,0.14285714285714285,1.0,7.0,310.0571428571429,0.0,1.0,253.1,1.4,179.9,179.9,400,400,179.9,193.1,625.0083194527457,5.733938496923745e-05,1.2109916908892627e-06
76,1,0,1,1,1,85,88,310,86,310,1000.0,0,3.0,134.26666666666668,0.0,1.0,3.0,134.26666666666668,0.3333333333333333,1.0,112.5,1.4,0.0,0.0,400,400,0,0,224.3050015164615,2.354833352789144e-05,0.0
77,1,0,1,1,1,87,90,478,88,478,1000.0,0,3.0,252.46666666666667,0.3333333333333333,2.0,7.0,316.87142857142857,0.2857142857142857,1.0,294.1,1.4,168.0,168.0,400,400,168,168,2030.5956264740628,0.00011609004148329412,0.0
"

"
