Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
2,7,6,1,1,1,38,65,3311.7,40,689.1,1000.0,2622.6,5.0,367.5,0.2,1.0,1.5714285714285714,982.8818181818184,0.337987012987013,1.0,1224.7,1.4,196.8,945.642857142857,400,400,369.1,961.7,7316.056707969689,7.064713227177494e-05,2.532500450606466e-05
3,1,0,1,1,1,86,89,703.7,88,450.8,1000.0,252.90000000000003,4.0,198.20000000000002,0.25,1.0,3.0,472.7333333333333,0.0,1.0,447.8,1.4,130.8,393.7,400,400,130.8,393.7,2663.727380643778,0.00012306739142079308,1.1684282526989112e-05
4,6,2,1,1,1,62,78,2263.4,63,633.4,1000.0,1630.0,1.0,323.4,0.6666666666666666,-1.0,1.0,323.40000000000003,0.0,1.0,340.2,1.4,323.4,323.40000000000003,550,500,323.4,323.4,1067.9397855745171,8.440910457527541e-05,0.00012883389336757563
5,16,0,14,1,1,26,85,5424.7,53,4623.3,1000.0,801.3999999999996,0.07142857142857142,153.3,1.0,0.07142857142857142,0.1875,355.5,0.3333333333333333,-0.1875,474.7,1.4,10.950000000000001,66.65625,400,400,153.3,314.7,2998.425539773146,0.00012377635925455078,3.308215361389357e-05
6,11,40,1,1,1,36,81,4803.2,37,535.7,1000.0,4267.5,7.0,360.12857142857143,0.2857142857142857,1.0,4.636363636363637,1097.449019607843,0.05244319950202304,1.0,1211.8,1.4,225.7,955.6727272727272,400,900,225.7,1073.2,7822.0940111875325,6.370804360242359e-05,3.4757198735338054e-05
6,1,0,1,1,1,89,92,669.5,90,436.3,1000.0,233.2,4.0,221.07500000000002,0.14285714285714285,1.0,4.0,393.34999999999997,0.08116883116883117,1.0,488.4,1.4,126.3,359.5,550,400,126.3,359.5,4968.005306900693,0.00010570990059406953,4.962061691901848e-06
10,1,0,1,1,1,19,22,497.5,20,497.5,1000.0,0.0,3.0,249.4333333333333,0.0,1.0,2.0,216.05,0.0,1.0,165.1,1.4,187.5,187.5,400,400,187.5,187.5,864.677623600749,7.318111930923024e-05,0.0
10,2,4,1,1,1,50,59,936,51,310,1000.0,626,10.0,197.33999999999997,0.6,1.0,4.0,415.2249999999999,0.0808531746031746,1.0,517.2,1.4,0.0,266.0,400,500,0,266,3029.2712446218043,0.0001237585396058862,2.557474703885654e-05
13,1,0,160,2,2,44,,3708.9,,3801.8,1000.0,-92.90000000000009,0.01875,682.5333333333333,0.3333333333333333,-0.00625,1.0,548.9,0.0,-1.0,371,1.4,3.430625,548.9,650,550,641.8,548.9,2365.6981085578336,0.00012082671692910336,-4.744815901111121e-06
14,1,0,1,1,1,58,61,377.1,59,377.1,1000.0,0.0,4.0,223.575,0.25,1.0,3.0,179.13333333333333,0.0,1.0,146.3,1.4,67.1,67.1,400,400,67.1,67.1,743.250595350491,6.552755842348516e-05,0.0
15,1,0,1,1,1,69,72,919.3,70,532.1,1000.0,387.19999999999993,2.0,287.85,0.0,1.0,3.0,650.3333333333334,0.11363636363636365,1.0,447.6,1.4,222.1,609.3,400,700,222.1,609.3,3335.871567680848,0.00012292591011908794,1.4268208902059437e-05
20,1,0,1,1,1,70,73,564.9,71,492.5,1000.0,72.39999999999998,8.0,271.725,0.375,1.0,6.0,300.9666666666667,0.1107041107041107,1.0,332.1,1.4,182.5,182.5,600,450,182.5,254.9,2525.896135163765,0.00012223898015793704,3.50374745827023e-06
20,1,0,1,1,1,82,85,596.6,83,310,1000.0,286.6,7.0,246.2571428571428,0.6428571428571429,1.0,6.0,387.3999999999999,0.0,1.0,378.1,1.4,0.0,286.6,400,400,0,286.6,2591.091893173323,0.0001226733194144748,1.3568863936018145e-05
22,6,34,4,1,1,56,98,2880.2,66,1748.5,1000.0,1131.6999999999998,2.0,465.75,0.6416666666666667,-1.0,6.666666666666667,700.3850000000002,0.01886904761904762,1.0,701.5,1.4,448.5,578.5,450,700,448.5,680.2,4901.638816320099,0.00010665296285103909,2.462424560060419e-05
23,1,0,1,1,1,78,81,618.7,79,514,1000.0,104.70000000000005,9.0,286.20000000000005,0.1388888888888889,1.0,3.0,354.3333333333333,0.06666666666666667,1.0,460.8,1.4,204.0,308.7,450,400,204,308.7,2439.60974877521,0.00012154118038442615,5.216146390888177e-06
25,1,0,1,1,1,25,28,611.5,26,584.9,1000.0,26.600000000000023,3.0,362.8333333333333,0.0,1.0,1.0,301.5,0.0,1.0,396.1,1.4,274.9,301.5,400,400,274.9,301.5,1514.8804390123014,0.00010301733838545755,1.808896022738149e-06
27,1,0,1,1,1,61,64,689.3,63,615.9,1000.0,73.39999999999998,3.0,366.0,0.6666666666666666,1.0,9.0,658.4777777777778,0.09660493827160493,1.0,583.6,1.4,295.9,379.3,550,400,295.9,379.3,3601.5256389553997,0.00012136713884627091,2.4734928706213773e-06
27,1,0,1,1,1,73,76,751.4,74,310,1000.0,441.4,12.0,152.36666666666667,0.4166666666666667,1.0,5.0,466.53999999999996,0.13284493284493287,1.0,498.2,1.4,0.0,441.4,400,450,0,441.4,4488.301167906716,0.00011223125712011805,1.1037333512074543e-05
