Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,31.404166666666665,2,,0,0,31.404166666666665
1,1.0,75.56041666666667,3,0.5,68.125,3,7.435416666666669
2,1.0,113.16874999999999,5,0.25,23.275,1,89.89374999999998
3,1.0,38.952083333333334,2,1.0,15.0,1,23.952083333333334
6,,0,0,1.0,15.0,1,-15.0
7,1.0,27.354166666666664,1,0.3333333333333333,24.275,1,3.0791666666666657
9,1.0,45.4375,2,1.0,30.49375,1,14.943750000000001
10,1.0,27.008333333333333,1,1.0,74.89999999999999,3,-47.89166666666666
12,,0,0,1.0,17.004166666666666,1,-17.004166666666666
13,1.0,67.88125,3,1.0,78.31666666666666,3,-10.435416666666669
14,1.0,31.333333333333332,1,1.0,17.472916666666666,1,13.860416666666666
17,1.0,20.5,1,1.0,77.29791666666667,3,-56.797916666666666
18,1.0,64.07708333333332,3,0.5,15.0,1,49.07708333333332
19,1.0,15.0,1,,0,0,15.0
21,1.0,87.76249999999999,3,1.0,54.12708333333333,2,33.63541666666666
22,1.0,39.70833333333333,2,0.2857142857142857,39.81666666666666,2,-0.10833333333333428
24,,0,0,1.0,15.0,1,-15.0
25,1.0,53.977083333333326,2,0.25,25.83958333333333,1,28.137499999999996
26,,0,0,0.3333333333333333,24.427083333333332,1,-24.427083333333332
27,1.0,25.947916666666664,1,0.2,26.46875,1,-0.5208333333333357
31,1.0,27.914583333333333,1,0.0,0,0,27.914583333333333
34,1.0,86.14583333333333,2,0.5,47.61666666666666,1,38.52916666666667
35,,0,0,0.5,28.24375,1,-28.24375
36,0.5,87.03125,4,0.5,43.422916666666666,2,43.608333333333334
38,1.0,127.77916666666664,5,,0,0,127.77916666666664
39,,0,0,0.5,15.0,1,-15.0
40,1.0,45.604166666666664,2,0.25,21.912499999999998,1,23.691666666666666
41,1.0,28.3125,1,0.4,78.81875,2,-50.506249999999994
42,1.0,17.035416666666666,1,0.6666666666666666,38.67916666666666,2,-21.643749999999994
43,,0,0,1.0,30.102083333333333,1,-30.102083333333333
45,1.0,51.0875,2,0.5,28.614583333333332,1,22.472916666666666
46,1.0,17.110416666666666,1,1.0,18.65625,1,-1.5458333333333343
47,1.0,79.68541666666667,3,,0,0,79.68541666666667
