Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,1,0,1,1,1,22,25,667.7,23,428.1,1000.0,239.60000000000002,6.0,239.5,0.16666666666666666,1.0,6.0,551.3000000000001,0.0,1.0,558.3,1.4,118.1,357.7,450,400,118.1,357.7,4017.5735157725453,0.00011770154849098163,7.01948350359342e-06
0,1,0,1,1,1,45,48,310,46,310,1000.0,0,10.0,459.86,0.3,1.0,8.0,457.9125,0.0625,1.0,426.1,1.4,0.0,0.0,400,400,0,0,1206.59849040613,9.1021372617252e-05,0.0
1,1,0,1,1,1,70,73,673.1,71,474.2,1000.0,198.90000000000003,10.0,280.89,0.5,1.0,9.0,513.088888888889,0.06851851851851852,1.0,592,1.4,164.2,363.1,450,400,164.2,363.1,3583.727492470826,0.0001214927575849603,6.742953959087983e-06
2,9,52,1,1,1,6,54,4020.1,7,472.7,1000.0,3547.4,7.0,307.27142857142854,0.14285714285714285,1.0,7.333333333333333,899.0772727272724,0.06696127946127946,1.0,879.8,1.4,162.7,730.9777777777776,400,900,162.7,860.1,6393.443871910404,8.421160267402604e-05,4.6724777023275375e-05
4,141,0,2,2,1,76,,3577.4,80,1040.9,1000.0,2536.5,1.0,400.9,0.75,-1.0,0.0070921985815602835,787.4,0.0,-0.0070921985815602835,626.8,1.4,400.9,5.584397163120567,450,800,400.9,787.4,6492.264100260738,8.271663304355422e-05,3.231703708827079e-05
6,1,0,1,1,1,74,77,701.3,75,445.6,1000.0,255.69999999999993,8.0,263.5625,0.5,1.0,5.0,636.84,0.5111111111111111,1.0,660.1,1.4,135.6,391.3,400,400,135.6,391.3,4690.299882510764,0.00010957583088601294,5.973720371703588e-06
7,1,0,1,1,1,29,32,660.6,30,514.6,1000.0,146.0,6.0,311.90000000000003,0.3333333333333333,1.0,2.0,352.6,0.0,-1.0,415,1.4,204.6,350.6,400,400,204.6,350.6,4019.3853372771214,0.00011768286423936427,4.2747078812271065e-06
7,155,3,1,2,1,48,,3997.6,49,310,1000.0,3687.6,4.0,177.65,0.25,1.0,0.04516129032258064,685.2857142857143,0.04081632653061224,0.0064516129032258064,714.6,1.4,0.0,25.15741935483871,400,900,0,927.6,7342.9609947347035,7.02679405401561e-05,3.528822469868526e-05
8,1,0,155,2,2,53,,3530.3,,3530.3,1000.0,0.0,0.0064516129032258064,460.3,1.0,-0.0064516129032258064,1.0,460.3,0.0,-1.0,288.4,1.4,2.9696774193548388,460.3,800,500,460.3,460.3,1685.2098963299334,0.00010821714174404922,0.0
9,1,0,1,1,1,87,90,895.4,88,432.2,1000.0,463.2,12.0,283.03333333333336,0.5416666666666666,1.0,1.0,585.4,0.0,1.0,510.9,1.4,122.2,585.4,400,700,122.2,585.4,4462.69065913833,0.00011255661767034144,1.1682688603598792e-05
10,4,15,1,1,1,14,33,1927.5,15,535.3,1000.0,1392.2,5.0,285.1,0.2,1.0,5.0,657.5600000000001,0.0,1.0,708.5,1.4,225.3,557.5,400,600,225.3,557.5,4178.270263395093,0.00011596650591525768,3.864004943615954e-05
11,140,0,1,2,1,82,,2940.8,83,490.8,1000.0,2450.0,2.0,303.45000000000005,0.6,2.0,0.007142857142857143,180.8,0.0,-0.007142857142857143,339,1.4,180.8,1.2914285714285716,400,800,180.8,180.8,1872.0136276758146,0.00011288956559272892,0.0001477443495139355
12,177,0,1,2,1,7,,3949.2,8,638.7,1000.0,3310.5,5.0,379.54,0.0,1.0,0.005649717514124294,439.2,0.0,-0.005649717514124294,260.1,1.4,328.7,2.48135593220339,400,450,328.7,439.2,1491.9665844933586,0.0001022443739747437,0.00022686835185275271
15,168,0,1,2,1,25,,3845.8,26,595.7,1000.0,3250.1000000000004,3.0,398.96666666666664,0.3333333333333333,1.0,0.005952380952380952,515.8,0.0,-0.005952380952380952,499.3,1.4,285.7,3.070238095238095,400,550,285.7,515.8,2126.7897001613524,0.00011771706279095558,0.00017989189328303535
16,1,0,1,1,1,18,21,688.6,19,418.7,1000.0,269.90000000000003,8.0,322.8875,0.25,1.0,4.0,443.2,0.0,1.0,485.3,1.4,108.7,378.6,400,400,108.7,378.6,2550.082925879999,0.00012240922962658568,1.2955755572072006e-05
17,1,0,1,1,1,41,44,702.6,42,454.1,1000.0,248.5,4.0,238.65,0.25,1.0,1.0,392.6,0.0,-1.0,272.8,1.4,144.1,392.6,400,400,144.1,392.6,1667.0227551991368,0.00010770633237420997,1.6055583831424017e-05
