Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
1,1.0,21.672916666666666,1,1.0,20.28125,1,1.3916666666666657
2,1.0,29.762499999999996,1,,0,0,29.762499999999996
3,1.0,30.40416666666667,1,1.0,56.74791666666667,2,-26.34375
4,1.0,17.572916666666664,1,1.0,42.61458333333333,2,-25.041666666666664
6,,27.360416666666666,1,,0,0,27.360416666666666
7,,0,0,1.0,53.170833333333334,2,-53.170833333333334
8,1.0,66.8625,3,1.0,70.69791666666666,3,-3.83541666666666
9,1.0,16.722916666666666,1,1.0,78.17916666666665,3,-61.45624999999998
11,1.0,39.55625,2,1.0,20.12083333333333,1,19.43541666666667
12,1.0,56.512499999999996,2,1.0,18.93333333333333,1,37.579166666666666
13,1.0,24.52708333333333,1,,0,0,24.52708333333333
16,1.0,15.0,1,1.0,45.70208333333333,2,-30.702083333333327
17,1.0,26.206249999999997,1,,0,0,26.206249999999997
18,1.0,62.422916666666666,2,1.0,16.920833333333334,1,45.50208333333333
19,1.0,113.20208333333332,4,1.0,128.5375,5,-15.335416666666674
20,1.0,61.24791666666666,3,1.0,38.87291666666666,2,22.375
22,1.0,44.67916666666667,2,,0,0,44.67916666666667
23,1.0,128.35,5,1.0,33.21875,1,95.13125
24,1.0,57.3375,2,0.3333333333333333,26.195833333333333,1,31.141666666666666
26,1.0,19.383333333333333,1,1.0,53.697916666666664,2,-34.31458333333333
27,1.0,43.58125,2,1.0,24.891666666666666,1,18.68958333333333
28,1.0,45.795833333333334,2,1.0,113.04374999999999,4,-67.24791666666665
29,1.0,46.760416666666664,2,1.0,71.90416666666667,2,-25.143750000000004
30,,0,0,1.0,21.160416666666666,1,-21.160416666666666
31,1.0,125.09791666666666,5,,0,0,125.09791666666666
32,1.0,22.174999999999997,1,1.0,18.802083333333332,1,3.372916666666665
33,1.0,15.0,1,1.0,63.224999999999994,3,-48.224999999999994
35,1.0,93.7875,4,1.0,46.43125,2,47.356249999999996
36,1.0,32.0125,2,1.0,31.27916666666667,1,0.7333333333333343
38,,0,0,1.0,15.0,1,-15.0
39,1.0,15,1,1.0,22.18125,1,-7.181249999999999
40,1.0,22.616666666666667,1,1.0,56.59375,2,-33.97708333333333
41,1.0,71.57291666666666,3,1.0,19.454166666666666,1,52.11874999999999
42,1.0,26.28125,1,1.0,68.01666666666667,3,-41.735416666666666
43,1.0,50.602083333333326,2,1.0,23.02708333333333,1,27.574999999999996
44,1.0,17.572916666666664,1,1.0,49.756249999999994,2,-32.18333333333333
46,1.0,37.52291666666667,2,1.0,43.875,2,-6.352083333333333
47,1.0,52.733333333333334,2,1.0,25.708333333333332,1,27.025000000000002
