Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,2,3,1,1,1,20,27,1125.4,21,654.6,1000.0,470.80000000000007,4.0,362.55,0.25,1.0,3.5,476.75714285714287,0.21428571428571427,0.5,493.8,1.4,263.3,369.35,400,400,344.6,475.4,2893.568799579941,0.00012373733502156606,2.0132763850857894e-05
0,136,0,1,2,1,90,,3498.1,91,310,1000.0,3188.1,11.0,253.34545454545457,0.7272727272727273,1.0,0.014705882352941176,870.05,0.0,-0.007352941176470588,1071.9,1.4,0.0,6.015441176470588,400,850,0,818.1,7651.869337534946,6.599535661473237e-05,2.7496522371513557e-05
1,1,0,146,2,2,71,,3799.8,,3434.4,1000.0,365.4000000000001,0.00684931506849315,544.4,1.0,-0.00684931506849315,2.0,1009.05,0.0,-1.0,1038.9,1.4,3.728767123287671,909.8,550,950,544.4,909.8,8847.00442239547,5.1038668570869173e-05,2.1080049930331035e-06
3,1,0,1,1,1,17,21,833.2,18,498.2,1000.0,335.00000000000006,5.0,283.8,0.2,1.0,5.0,628.6600000000001,0.0,1.0,751.5,1.4,188.2,502.8,400,400,188.2,513.2,5938.590446020117,9.115642588382485e-05,5.142197117086374e-06
3,1,0,1,1,1,76,79,448,77,310.1,1000.0,137.89999999999998,13.0,223.53846153846155,0.7692307692307693,1.0,7.0,338.8285714285715,0.7142857142857143,1.0,303,1.4,0.1,138.0,400,400,0.1,138,2246.641636876579,0.00011943591586537318,7.3310369252894614e-06
5,1,0,1,1,1,88,91,635.2,89,663,1000.0,-27.799999999999955,1.0,353.0,1.0,1.0,2.0,339.1,0.0,1.0,373.1,1.4,353.0,325.2,400,400,353,325.2,2307.1946087506158,0.00012018129577499784,-1.4480963200387172e-06
7,140,0,1,2,1,82,,3079.1,83,493.9,1000.0,2585.2,4.0,271.525,0.75,1.0,0.007142857142857143,319.1,0.0,-0.007142857142857143,937.1,1.4,183.9,2.2792857142857144,400,400,183.9,319.1,5782.666856128255,9.354420628730115e-05,4.181988831634802e-05
9,1,0,1,1,1,29,32,1147.2,30,483.1,1000.0,664.1,4.0,253.325,0.5,1.0,1.0,837.2,0.0,1.0,1069,1.4,173.1,837.2,400,400,173.1,837.2,8015.478760100411,6.1170463533499e-05,5.0681071023245775e-06
9,1,0,1,1,1,61,64,560.2,62,512.6,1000.0,47.60000000000002,5.0,270.9599999999999,0.2,1.0,4.0,310.55,0.625,-1.0,286.7,1.4,202.6,250.2,400,400,202.6,250.2,1277.5622965741352,9.410070727077688e-05,3.506047163492712e-06
11,1,0,1,1,1,15,18,520.6,16,520.6,1000.0,0.0,4.0,262.125,0.0,1.0,3.0,288.40000000000003,0.0,1.0,193.6,1.4,210.6,210.6,400,400,210.6,210.6,943.9125673482389,7.778541070721078e-05,0.0
11,1,0,1,1,1,34,37,591.4,35,310,1000.0,281.4,10.0,216.95999999999998,0.4,1.0,5.0,379.06,0.1,1.0,601.5,1.4,0.0,281.4,400,400,0,281.4,3113.95679763349,0.0001236444602382788,1.1173421268237778e-05
13,157,0,1,2,1,48,,3479.8,49,488.6,1000.0,2991.2000000000003,2.0,312.3,0.5,1.0,0.006369426751592357,379.8,0.0,-0.006369426751592357,663.8,1.4,178.6,2.419108280254777,400,400,178.6,379.8,4468.091969100396,0.00011248822690134618,7.530614558389504e-05
17,1,0,1,1,1,40,43,1234.1,41,378.6,1000.0,855.4999999999999,8.0,229.275,0.125,1.0,6.0,1007.3666666666667,0.4166666666666667,1.0,1101.7,1.4,68.6,924.1,400,400,68.6,924.1,7819.509695645299,6.37423984530791e-05,6.973790429210406e-06
18,1,0,1,1,1,32,35,1019.9,33,666.7,1000.0,353.19999999999993,1.0,356.7,1.0,-1.0,5.0,830.26,0.2,1.0,866.7,1.4,356.7,709.9,400,400,356.7,709.9,7035.94265429572,7.465730042726847e-05,3.747750629378983e-06
18,1,0,1,1,1,42,45,821.5,43,310,1000.0,511.5,5.0,191.57999999999998,0.4,1.0,6.0,657.9499999999999,0.0,1.0,583,1.4,0.0,511.5,400,400,0,511.5,4567.288642253645,0.00011121106796233201,1.2454755045799827e-05
19,1,0,1,1,1,79,82,849.6,80,341.6,1000.0,508.0,9.0,240.7111111111111,0.7777777777777778,1.0,2.0,601.6500000000001,0.0,1.0,663.3,1.4,31.6,539.6,400,400,31.6,539.6,4800.26305199068,0.00010807133011742573,1.1436922332180322e-05
19,1,0,1,1,1,89,92,310,90,310,1000.0,0,6.0,142.88333333333333,0.5,1.0,8.0,285.6,0.875,1.0,311.5,1.4,0.0,0.0,400,400,0,0,1795.885366048701,0.00011110865255247491,0.0
21,1,0,1,1,1,55,58,677.4,56,381.5,1000.0,295.9,8.0,205.9625,0.875,1.0,4.0,506.67499999999995,0.625,1.0,482.7,1.4,71.5,367.4,400,400,71.5,367.4,3627.4826073748873,0.00012117887074195826,9.884769062612839e-06
21,1,0,1,1,1,69,72,793.4,70,622,1000.0,171.39999999999998,3.0,364.76666666666665,1.0,1.0,5.0,565.3,0.5,1.0,540.6,1.4,312.0,483.4,400,400,312,483.4,5097.190072169566,0.00010384531927341237,3.4919411423649115e-06
23,1,0,1,1,1,19,22,636.6,20,585.2,1000.0,51.39999999999998,2.0,300.9,0.0,-1.0,7.0,464.0,0.14285714285714285,1.0,337.9,1.4,275.2,326.6,400,400,275.2,326.6,1866.3831166746986,0.00011276345361825108,3.1054939707688773e-06
24,1,0,1,1,1,31,34,695.8,32,434.5,1000.0,261.29999999999995,2.0,208.6,0.0,1.0,8.0,495.21250000000003,0.0,1.0,555.3,1.4,124.5,385.8,400,400,124.5,385.8,3869.0666704756786,0.00011915864911055616,8.047458900148732e-06
25,1,0,1,1,1,56,60,1111.1,57,600.5,1000.0,510.5999999999999,6.0,358.18333333333334,0.6666666666666666,1.0,1.0,791.1,0.0,-1.0,846.3,1.4,290.5,791.1,400,400,290.5,791.1,5776.417851514072,9.363980004458406e-05,8.277185468885767e-06
25,1,0,145,2,2,73,,3219.1,,3381.2,1000.0,-162.0999999999999,0.006896551724137931,511.2,1.0,-0.006896551724137931,1.0,349.1,0.0,1.0,330.5,1.4,3.52551724137931,349.1,550,950,511.2,349.1,1967.90865642808,0.0001149044318835093,-9.46487447345479e-06
26,6,0,1,1,1,49,62,2358.5,50,494.9,1000.0,1863.6,9.0,304.58888888888885,0.5555555555555556,1.0,3.0,448.69999999999993,0.0,1.0,576.1,1.4,184.9,384.2,400,400,184.9,448.5,3432.2486094702354,0.0001224417309514762,6.648190028297246e-05
27,154,0,1,2,1,53,,4067.4,54,515.4,1000.0,3552.0,8.0,317.2625,0.375,1.0,0.006493506493506494,1017.4,0.0,-0.006493506493506494,799.7,1.4,189.3,6.606493506493506,400,1050,205.4,1017.4,7884.509287741729,6.288184629310474e-05,2.8328499578327146e-05
28,166,2,1,2,1,27,,3694.5,28,469.8,1000.0,3224.7,7.0,366.7428571428572,0.42857142857142855,1.0,0.024096385542168676,606.25,0.375,0.0,911.3,1.4,159.8,10.50301204819277,400,400,159.8,404.5,6708.64041491727,7.947170643042776e-05,3.8200349977971015e-05
30,1,1,1,1,1,72,76,826.9,73,472.5,1000.0,354.4,11.0,269.3545454545455,0.6363636363636364,1.0,3.0,485.43333333333334,0.3333333333333333,1.0,626.4,1.4,162.5,360.9,400,400,162.5,506.9,4197.741663064694,0.00011574611804603962,9.772022084267135e-06
33,1,0,1,1,1,22,26,990,23,439.4,1000.0,550.6,3.0,211.83333333333334,0.0,1.0,3.0,751.0,0.0,1.0,681.1,1.4,129.4,670.0,400,400,129.4,670,6208.930959968609,8.701946641939277e-05,7.716774195015353e-06
33,159,0,1,2,1,43,,3836,44,567.8,1000.0,3268.2,4.0,281.425,0.5,1.0,0.006289308176100629,686.0,0.0,-0.006289308176100629,722.2,1.4,257.8,4.314465408805032,400,700,257.8,686,4794.6539988946015,0.00010814896603666506,7.37180307239097e-05
34,161,0,1,2,1,39,,3902.2,40,676.4,1000.0,3225.7999999999997,1.0,366.4,0.0,1.0,0.006211180124223602,712.2,0.0,-0.006211180124223602,409.2,1.4,366.4,4.42360248447205,400,750,366.4,712.2,2004.4685497369178,0.0001156082067896319,0.00018604879258940764
35,152,0,1,2,1,58,,3113.7,59,423.7,1000.0,2690.0,2.0,292.40000000000003,1.0,-1.0,0.013157894736842105,370.75,0.0,-0.006578947368421052,523.7,1.4,113.7,0.7480263157894737,400,400,113.7,113.7,2331.556419506739,0.00012045882968945396,0.00013897765850898148
38,1,0,1,1,1,44,47,370.2,45,370.2,1000.0,0.0,9.0,240.26666666666668,0.4444444444444444,1.0,5.0,257.08000000000004,0.0,1.0,364.3,1.4,60.2,60.2,400,400,60.2,60.2,2186.3014044120323,0.00011861198505996024,0.0
39,1,0,1,1,1,85,89,779.1,86,539.6,1000.0,239.5,3.0,303.8333333333333,0.3333333333333333,1.0,3.0,474.23333333333335,0.4444444444444444,1.0,493.6,1.4,229.6,430.4,400,400,229.6,459.1,2313.7311866035548,0.00012025700322596477,1.2448097877306934e-05
41,1,0,1,1,1,62,65,637.3,63,540.4,1000.0,96.89999999999998,7.0,303.64285714285717,0.8571428571428571,1.0,6.0,556.2333333333333,0.75,1.0,521.9,1.4,230.4,327.3,400,400,230.4,327.3,3369.3837967288646,0.00012276866051585963,3.5306999503992964e-06
42,1,0,1,1,1,57,60,823.5,58,491.9,1000.0,331.6,1.0,181.9,1.0,2.0,2.0,347.7,0.0,2.0,189.5,1.4,181.9,181.9,400,400,181.9,513.5,980.8571876500861,7.983135759910585e-05,2.6988718146914602e-05
43,19,0,1,1,1,23,62,6245,24,588.2,1000.0,5656.8,1.0,278.2,0.0,-1.0,0.15789473684210525,247.6,1.0,-0.15789473684210525,335,1.4,278.2,39.09473684210526,400,400,278.2,175,2248.709387941503,0.00011946269760853786,0.0003005175286125307
46,1,0,1,1,1,38,41,825.3,39,382.2,1000.0,443.09999999999997,5.0,211.42,0.2,1.0,6.0,559.15,0.4166666666666667,1.0,536.5,1.4,72.2,515.3,400,400,72.2,515.3,3412.4433899451465,0.00012254914231739141,1.591279876490757e-05
46,1,0,1,1,1,67,70,1109,68,398.7,1000.0,710.3,10.0,197.35999999999999,0.7,1.0,5.0,892.0799999999999,0.0,1.0,887.1,1.4,0.0,799.0,400,400,88.7,799,6764.540125439581,7.864077531390426e-05,8.257552127660168e-06
46,1,1,1,1,1,83,86,496,84,310,1000.0,186,8.0,218.1875,0.5,1.0,3.0,178.4333333333333,0.5,2.0,412,1.4,0.0,0.0,400,400,0,186,2034.7692277882095,0.00011616540231539485,1.0618779041665554e-05
47,1,0,148,2,2,68,,3512.1,,3512.8,1000.0,-0.7000000000002728,0.013513513513513514,549.15,0.5,-0.006756756756756757,2.0,592.45,0.0,-1.0,448.3,1.4,3.4155405405405403,592.1,850,600,592.8,592.1,3630.712623409282,0.00012115502777306057,-2.3358642844483586e-08
48,15,0,1,1,1,33,64,5028.7,34,669.9,1000.0,4358.8,2.0,354.45,0.0,-1.0,0.26666666666666666,307.075,1.0,0.06666666666666667,400.7,1.4,349.0,60.53333333333333,400,400,359.9,238.7,2574.549760134072,0.0001225704727146025,0.0002075159644382198
49,1,0,1,1,1,26,29,1537.4,27,515.4,1000.0,1022.0000000000001,6.0,298.9666666666667,0.0,1.0,3.0,1331.7666666666667,0.0,1.0,1393.4,1.4,205.4,1227.4,400,400,205.4,1227.4,10829.202224554696,3.2066007133558644e-05,3.0262117754333954e-06
50,1,0,1,1,1,30,33,1136.3,31,544.5,1000.0,591.8,7.0,334.34285714285716,0.14285714285714285,1.0,2.0,772.45,0.5,-1.0,967.5,1.4,234.5,718.6,400,400,234.5,826.3,6761.382325905942,7.868762663230197e-05,6.8872510377908334e-06
52,1,0,1,1,1,64,67,877.4,65,396.2,1000.0,481.2,9.0,255.85555555555553,0.8888888888888888,1.0,4.0,677.35,0.5,-1.0,678.9,1.4,86.2,567.4,400,400,86.2,567.4,5378.522008158909,9.968012277042064e-05,8.918077309038548e-06
53,10,0,1,1,1,12,33,4080.5,13,466.8,1000.0,3613.7,6.0,303.8,0.16666666666666666,1.0,0.1,890.5,1.0,0.3,942.2,1.4,156.8,89.05,400,400,156.8,890.5,7290.901137782818,7.100265978917574e-05,3.519212602547669e-05
53,10,0,1,1,1,52,73,3504.7,53,310,1000.0,3194.7,9.0,279.2,0.5555555555555556,1.0,0.5,353.14,1.0,-0.4,474.6,1.4,0.0,135.28,400,400,0,314.7,3743.1971138563586,0.00012026939491407349,0.000102646113534788
54,1,0,1,1,1,0,3,533.8,1,533.8,1000.0,0.0,1.0,223.8,0.0,1.0,2.0,322.85,0.0,1.0,173.8,1.4,223.8,223.8,400,400,223.8,223.8,1185.4760473686345,9.006581170420914e-05,0.0
54,1,0,1,1,1,86,90,860.9,87,576.7,1000.0,284.19999999999993,7.0,353.65714285714284,0.8571428571428571,1.0,4.0,559.05,0.875,1.0,642.9,1.4,266.7,430.6,400,400,266.7,540.9,4012.864815378774,0.00011775000838208066,8.339317151661537e-06
57,1,0,1,1,1,21,24,867.2,22,353.1,1000.0,514.1,9.0,285.4,0.2222222222222222,1.0,5.0,621.26,0.0,1.0,602.5,1.4,43.1,557.2,400,400,43.1,557.2,3390.936042856679,0.00012266121030019751,1.8596672841463215e-05
57,1,0,1,1,1,65,68,477.4,66,310,1000.0,167.39999999999998,13.0,237.0923076923077,0.6923076923076923,1.0,5.0,263.62,0.8,1.0,342.9,1.4,0.0,167.4,400,400,0,167.4,2123.472957009311,0.00011766472186451667,9.27587722513846e-06
58,1,0,1,1,1,45,48,746,46,357,1000.0,389,8.0,229.35000000000002,0.375,1.0,6.0,561.2666666666668,0.25,1.0,589.6,1.4,47.0,436.0,400,400,47,436,4424.540939912462,0.00011303611216481637,9.937990907816873e-06
58,1,0,1,1,1,54,57,838.4,55,310,1000.0,528.4,6.0,209.06666666666663,0.5,1.0,1.0,528.4,0.0,1.0,537.2,1.4,0.0,528.4,400,400,0,528.4,5757.077919889715,9.393557322225474e-05,8.621657997568015e-06
61,1,0,1,1,1,78,81,873.4,79,475,1000.0,398.4,2.0,183.75,0.5,1.0,10.0,728.88,0.8666666666666666,1.0,656.3,1.4,165.0,563.4,400,400,165,563.4,4868.344043213523,0.00010712187853265021,8.766298361123455e-06
62,1,0,1,1,1,47,50,589.1,48,431.1,1000.0,158.0,11.0,290.8545454545454,0.6363636363636364,1.0,9.0,393.4555555555555,0.7592592592592592,1.0,400.2,1.4,121.1,279.1,400,400,121.1,279.1,2174.397669673709,0.00011843961412061147,8.606272574723997e-06
62,1,0,1,1,1,74,77,310,75,310,1000.0,0,9.0,236.4222222222222,0.7777777777777778,1.0,7.0,190.71428571428572,0.6428571428571429,1.0,84.6,1.4,0.0,0.0,400,400,0,0,167.4654846561726,1.792059307752698e-05,0.0
63,1,0,1,1,1,36,39,512,37,481.8,1000.0,30.19999999999999,10.0,254.48999999999995,0.7,1.0,7.0,338.14285714285717,0.7142857142857143,1.0,279.2,1.4,171.8,202.0,400,400,171.8,202,2042.6618374298005,0.00011630671334221309,1.7195517528023262e-06
64,155,0,1,2,1,51,,3280,52,520,1000.0,2760,3.0,296.46666666666664,0.3333333333333333,1.0,0.03870967741935484,428.3500000000001,0.4166666666666667,-0.0064516129032258064,310.4,1.4,210.0,1.3548387096774193,400,400,210,210,1754.725557265579,0.00011007610980805121,0.0001731382219927623
65,1,0,1,1,1,41,44,973,42,477.9,1000.0,495.1,6.0,279.21666666666664,0.3333333333333333,1.0,1.0,663.0,1.0,1.0,791.7,1.4,167.9,663.0,400,400,167.9,663,5702.4353963955255,9.477049757672466e-05,8.2282165581209e-06
65,1,0,1,1,1,59,62,1004.4,60,310,1000.0,694.4,9.0,208.02222222222224,0.6666666666666666,1.0,5.0,820.7,0.0,1.0,822.9,1.4,0.0,694.4,400,400,0,694.4,5838.438104903177,9.269059262349693e-05,1.102424079201978e-05
66,1,0,1,1,1,7,10,1031.3,8,543.6,1000.0,487.69999999999993,7.0,339.09999999999997,0.14285714285714285,1.0,5.0,822.3,0.2,1.0,856.7,1.4,233.6,721.3,400,400,233.6,721.3,5450.632142306929,9.859506436136964e-05,8.8218782030461e-06
66,1,0,1,1,1,70,73,757.9,71,597.1,1000.0,160.79999999999995,4.0,347.02500000000003,0.75,1.0,3.0,570.1666666666666,0.8333333333333334,-1.0,631.3,1.4,287.1,447.9,400,400,287.1,447.9,5147.75377083196,0.00010310627304056761,3.2207229488841217e-06
67,1,0,1,1,1,13,16,660.6,14,400.3,1000.0,260.3,6.0,242.64999999999998,0.0,1.0,4.0,443.65,0.0,1.0,399.3,1.4,90.3,350.6,400,400,90.3,350.6,3583.3110292615625,0.00012149566276016179,8.825725916119361e-06
68,1,0,1,1,1,35,38,1169.6,36,652.2,1000.0,517.3999999999999,1.0,342.2,1.0,1.0,5.0,967.18,0.13333333333333333,1.0,1114.3,1.4,342.2,859.6,400,400,342.2,859.6,10684.187252845717,3.3218549502463354e-05,1.608664946226652e-06
68,1,0,1,1,1,50,53,802.6,51,310,1000.0,492.6,10.0,258.76000000000005,0.7,1.0,4.0,576.625,0.0,1.0,623.8,1.4,0.0,492.6,400,400,0,492.6,4282.626343967162,0.00011476167518841999,1.3200217963785346e-05
70,1,0,1,1,1,6,9,774.6,7,497.9,1000.0,276.70000000000005,2.0,330.5,0.0,1.0,5.0,526.1,0.0,1.0,580.1,1.4,187.9,464.6,400,400,187.9,464.6,4965.878160927401,0.00010574029284301165,5.89187613580056e-06
70,1,0,1,1,1,14,17,653.8,15,310,1000.0,343.79999999999995,5.0,210.11999999999998,0.0,1.0,1.0,343.8,0.0,-1.0,575.3,1.4,0.0,343.8,400,400,0,343.8,3875.0562229312154,0.00011910284186077734,1.0566958174547777e-05
70,1,0,1,1,1,63,66,545.3,64,310,1000.0,235.29999999999995,8.0,246.39999999999998,0.75,1.0,11.0,326.6636363636364,0.8181818181818182,1.0,314.8,1.4,0.0,235.3,400,400,0,235.3,1836.9543771960396,0.00011208985453616324,1.4357864898429372e-05
73,167,0,1,2,1,28,,4001.8,29,521,1000.0,3480.8,6.0,274.8333333333333,0.16666666666666666,1.0,0.0718562874251497,831.3083333333334,1.0,-0.023952095808383235,997.7,1.4,211.0,40.85029940119761,400,700,211,701.8,8196.216983886357,5.885926430821852e-05,2.4996571907116766e-05
74,1,0,1,1,1,75,78,409.1,76,409.1,1000.0,0.0,6.0,386.90000000000003,0.8333333333333334,1.0,9.0,421.68888888888887,0.6296296296296295,1.0,348.8,1.4,99.1,99.1,400,400,99.1,99.1,1073.6473103193593,8.46974115632586e-05,0.0
76,1,0,1,1,1,37,40,1087.4,39,399.6,1000.0,687.8000000000001,7.0,282.64285714285717,0.8571428571428571,1.0,2.0,806.5,0.0,1.0,819.7,1.4,79.6,777.4,400,400,79.6,777.4,6473.608689542802,8.29982991353295e-05,8.818301025438e-06
77,158,0,1,2,1,46,,3848,47,418.6,1000.0,3429.4,7.0,223.68571428571428,0.5714285714285714,1.0,0.006329113924050633,728.0,0.0,-0.006329113924050633,1338.9,1.4,108.6,4.6075949367088604,400,750,108.6,728,9385.609665900578,4.51710571433569e-05,1.6505014472340524e-05
78,1,0,1,1,1,24,27,436.1,25,436.1,1000.0,0.0,3.0,175.76666666666665,0.3333333333333333,1.0,2.0,140.3,0.0,1.0,382.6,1.4,126.1,126.1,400,400,126.1,126.1,1247.0009538512231,9.279903409978656e-05,0.0
"

"
