Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,21.154166666666665,1,0.0,0,0,21.154166666666665
1,1.0,60.04375,2,,0,0,60.04375
2,1.0,15,1,1.0,16.049999999999997,1,-1.0499999999999972
3,1.0,25.35625,1,1.0,44.891666666666666,2,-19.535416666666666
5,1.0,49.135416666666664,2,1.0,62.588541666666664,2,-13.453125
6,,0,0,1.0,15.229166666666666,1,-15.229166666666666
7,1.0,34.09166666666667,1,1.0,31.585416666666664,1,2.506250000000005
8,1.0,20.958333333333332,1,1.0,60.295833333333334,2,-39.337500000000006
9,1.0,27.224999999999998,1,1.0,89.26875,3,-62.04375
10,,0,0,1.0,18.299999999999997,1,-18.299999999999997
12,1.0,51.5,2,1.0,21.947916666666664,1,29.552083333333336
13,1.0,20.5125,1,0.5,26.660416666666666,1,-6.147916666666667
14,,0,0,1.0,58.59583333333333,1,-58.59583333333333
16,1.0,103.51874999999998,4,1.0,81.89999999999999,3,21.61874999999999
17,,0,0,1.0,53.49374999999999,2,-53.49374999999999
18,1.0,25.2125,1,1.0,19.891666666666666,1,5.320833333333333
19,1.0,42.30208333333333,2,1.0,34.193749999999994,1,8.108333333333334
20,1.0,28.302083333333332,1,1.0,34.42708333333333,2,-6.1249999999999964
21,1.0,39.00416666666666,2,,0,0,39.00416666666666
22,1.0,56.181250000000006,3,,0,0,56.181250000000006
23,1.0,188.55208333333334,9,0.0,0,0,188.55208333333334
24,1.0,45.10625,2,1.0,49.016666666666666,2,-3.910416666666663
25,1.0,19.724999999999998,1,1.0,18.295833333333334,1,1.4291666666666636
26,1.0,17.729166666666664,1,1.0,30.99583333333333,1,-13.266666666666666
27,1.0,83.94583333333333,3,0.06666666666666667,21.3375,1,62.60833333333333
28,1.0,30.602083333333333,1,1.0,28.329166666666666,1,2.272916666666667
29,,0,0,1.0,22.47083333333333,1,-22.47083333333333
30,1.0,91.86666666666667,3,1.0,105.46249999999999,4,-13.595833333333317
31,1.0,55.77916666666667,2,0.5,26.529166666666665,1,29.250000000000004
32,1.0,92.54166666666666,4,,0,0,92.54166666666666
34,1.0,20.91875,1,1.0,16.316666666666666,1,4.602083333333333
35,1.0,18.55833333333333,1,1.0,26.539583333333333,1,-7.981250000000003
36,1.0,48.84375,2,,0,0,48.84375
37,,0,0,0.5,24.466666666666665,1,-24.466666666666665
39,1.0,61.60624999999999,3,1.0,44.199999999999996,2,17.406249999999993
40,,0,0,0.5,105.20208333333332,3,-105.20208333333332
41,1.0,22.84583333333333,1,1.0,32.885416666666664,1,-10.039583333333333
42,1.0,22.4,1,1.0,43.27916666666667,2,-20.87916666666667
44,1.0,33.75,1,1.0,18.8125,1,14.9375
45,1.0,44.93124999999999,2,0.75,104.93749999999999,3,-60.006249999999994
46,1.0,57.202083333333334,2,1.0,24.122916666666665,1,33.079166666666666
47,1.0,51.93958333333333,2,1.0,19.706249999999997,1,32.233333333333334
