Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,1,0,1,1,1,32,35,681.6,33,575.9,1000.0,105.70000000000005,4.0,411.8,0.25,1.0,3.0,496.3,0.3333333333333333,1.0,566.7,1.4,265.9,371.6,400,400,265.9,371.6,2598.2923197132304,0.000122716547079388,4.992178488878774e-06
0,1,0,1,1,1,47,50,310,48,310,1000.0,0,15.0,284.38000000000005,0.4666666666666667,1.0,14.0,259.7357142857143,0.6428571428571429,1.0,97.8,1.4,0.0,0.0,400,400,0,0,400.7119508969337,3.964382176443903e-05,0.0
3,1,0,1,1,1,21,24,1370.9,22,562,1000.0,808.9000000000001,6.0,323.6166666666667,0.3333333333333333,1.0,1.0,1060.9,0.0,2.0,1170.8,1.4,207.9,1060.9,400,400,252,1060.9,9210.52544976357,4.701829597003793e-05,4.1293083459358965e-06
3,1,0,1,1,1,80,83,546.9,81,525.7,1000.0,21.199999999999932,9.0,347.4444444444444,0.8888888888888888,1.0,2.0,300.95,1.0,2.0,418.8,1.4,215.7,236.9,400,400,215.7,236.9,2399.251087891236,0.00012116475874389846,1.070622786558088e-06
4,1,0,1,1,1,53,56,579.5,54,542.2,1000.0,37.299999999999955,1.0,232.2,1.0,1.0,8.0,431.32500000000005,0.875,1.0,469.5,1.4,232.2,269.5,400,400,232.2,269.5,3198.3468801075164,0.000123439992567384,1.4395911060806006e-06
5,1,0,1,1,1,12,15,1111.5,13,534.9,1000.0,576.6,1.0,224.9,0.0,1.0,2.0,802.55,0.0,1.0,957.6,1.4,224.9,801.5,400,400,224.9,801.5,8593.814664396943,5.398675171821774e-05,3.6222285744288574e-06
5,1,0,1,1,1,37,40,964,38,603.5,1000.0,360.5,2.0,311.35,0.5,-1.0,4.0,693.825,1.0,1.0,721.6,1.4,293.5,654.0,400,400,293.5,654,4813.668362252634,0.0001078854144147414,8.079636769641066e-06
5,1,0,1,1,1,89,92,507.4,90,310,1000.0,197.39999999999998,8.0,280.73749999999995,0.625,1.0,8.0,269.125,1.0,1.0,278.6,1.4,0.0,197.4,400,400,0,197.4,1735.8898105911792,0.00010958685308244068,1.2461876708122726e-05
9,1,0,1,1,1,71,74,592.5,72,587.9,1000.0,4.600000000000023,4.0,341.325,0.25,1.0,5.0,326.91999999999996,0.8,1.0,336.4,1.4,277.9,282.5,400,400,277.9,282.5,2621.9018824322543,0.00012285180270555797,2.1553754403705117e-07
10,1,0,1,1,1,38,41,862.2,39,546.1,1000.0,316.1,3.0,372.5,1.0,-1.0,5.0,698.9399999999999,0.0,1.0,565.6,1.4,236.1,552.2,400,400,236.1,552.2,3078.5235797714145,0.00012370360353145365,1.2701773451803785e-05
10,1,0,1,1,1,76,79,670.5,77,310,1000.0,360.5,9.0,294.02222222222224,0.7777777777777778,1.0,3.0,274.6333333333333,0.6666666666666666,1.0,345.9,1.4,0.0,0.0,400,400,0,360.5,1519.6785712175952,0.00010317692139200623,2.4475754851249028e-05
11,155,0,1,2,1,52,,3537.4,53,532.2,1000.0,3005.2,3.0,351.3333333333333,0.6666666666666666,1.5,0.0064516129032258064,477.4,0.0,-0.0064516129032258064,285,1.4,222.2,3.08,400,500,222.2,477.4,1965.3284166762987,0.00011485344406576195,0.0001756233549455044
12,140,0,1,2,1,82,,3382.1,83,935.9,1000.0,2446.2,1.0,625.9,0.0,-1.0,0.014285714285714285,680.85,0.0,-0.007142857142857143,473.5,1.4,625.9,4.4435714285714285,400,650,625.9,622.1,1782.015426889401,0.00011076626599464146,0.00015205055791748127
14,1,0,1,1,1,22,25,877.7,23,377.4,1000.0,500.30000000000007,10.0,233.88999999999996,0.2,1.0,4.0,719.275,0.25,1.0,789.6,1.4,67.4,567.7,400,400,67.4,567.7,5288.081232891207,0.00010103216626760043,9.558550740349492e-06
15,1,0,1,1,1,30,33,1491,31,467.7,1000.0,1023.3,4.0,340.42499999999995,0.25,1.0,2.0,1219.2,0.5,1.0,1165.3,1.4,157.7,1181.0,400,400,157.7,1181,9680.170763182447,4.2192683706248875e-05,4.460228470433515e-06
16,1,0,1,1,1,81,84,1065.7,82,391.7,1000.0,674.0,1.0,81.7,1.0,1.0,2.0,778.3,1.0,1.0,666.1,1.4,81.7,755.7,400,400,81.7,755.7,6276.38960250098,8.599077846616532e-05,9.234255417015658e-06
17,159,0,1,2,1,44,,3516.9,45,554.5,1000.0,2962.4,7.0,322.18571428571425,0.7142857142857143,1.0,0.018867924528301886,441.76666666666665,1.0,-0.018867924528301886,626.9,1.4,244.5,8.335220125786163,400,400,244.5,376.9,4092.085795617157,0.00011691621348171098,8.463962099455069e-05
18,1,0,1,1,1,48,51,993.1,49,525.3,1000.0,467.80000000000007,5.0,298.44,0.2,1.0,3.0,740.7333333333332,0.0,1.0,716.1,1.4,215.3,683.1,400,400,215.3,683.1,4518.031105932422,0.00011185017709960291,1.1581043073937807e-05
19,1,0,1,1,1,45,48,597.7,46,597.7,1000.0,0.0,3.0,339.46666666666664,0.3333333333333333,1.0,4.0,372.625,0.0,1.0,185.1,1.4,287.7,287.7,400,400,287.7,287.7,980.9715178240292,7.983759153524599e-05,0.0
19,1,0,1,1,1,63,66,492.4,64,492.4,1000.0,0.0,5.0,282.76000000000005,0.6,1.0,6.0,307.7833333333333,0.8333333333333334,1.0,354.4,1.4,182.4,182.4,400,400,182.4,182.4,1481.2846567830147,0.00010187785144349081,0.0
20,1,0,1,1,1,62,65,1562.1,63,603.3,1000.0,958.8,2.0,391.45000000000005,1.0,2.0,1.0,1252.1,1.0,-1.0,1080.6,1.4,293.3,1252.1,400,400,293.3,1252.1,7747.902560861255,6.469889130203833e-05,8.006463232224586e-06
21,1,0,139,2,2,86,,3435.9,,3215.6,1000.0,220.30000000000018,0.014388489208633094,535.75,1.0,-0.007194244604316547,1.0,695.9,0.0,-1.0,748.5,1.4,3.42158273381295,695.9,650,700,475.6,695.9,3600.0105116265504,0.00012137794335066569,7.427634123232116e-06
22,1,0,1,1,1,49,52,389.8,50,389.8,1000.0,0.0,3.0,176.03333333333333,0.3333333333333333,1.0,2.0,146.05,0.5,1.0,219.6,1.4,79.8,79.8,400,400,79.8,79.8,1382.3130089689769,9.82901913568727e-05,0.0
24,1,0,1,1,1,20,23,1144,22,651.1,1000.0,492.9,3.0,420.1333333333334,0.3333333333333333,1.0,5.0,858.72,0.2,1.0,902.7,1.4,331.1,744.3,400,400,331.1,834,5912.7040195829695,9.155304338905374e-05,7.632124817512414e-06
24,1,0,1,1,1,58,61,772.2,59,310,1000.0,462.20000000000005,14.0,189.1357142857143,0.42857142857142855,1.0,5.0,666.38,0.8,1.0,769.4,1.4,0.0,462.2,400,400,0,462.2,5398.434265555952,9.938107556298797e-05,8.50875103144052e-06
28,1,0,1,1,1,61,64,480.5,62,480.5,1000.0,0.0,7.0,288.2142857142857,0.2857142857142857,1.0,7.0,320.6142857142857,0.7142857142857143,1.0,349.6,1.4,170.5,170.5,400,400,170.5,170.5,2180.269398663676,0.00011852504936193952,0.0
28,137,0,1,2,1,88,,3553.8,89,310,1000.0,3243.8,19.0,201.38421052631574,0.8421052631578947,1.0,0.9927007299270073,853.800000000002,0.0,2.978102189781022,912.4,1.4,0.0,847.5678832116807,400,850,0,853.8,6581.039429996761,8.138017104437774e-05,4.0112356359773774e-05
29,3,0,1,1,1,25,32,1378.2,26,373.1,1000.0,1005.1,10.0,268.0200000000001,0.2,1.0,0.6666666666666666,382.2,1.0,-0.6666666666666666,578.7,1.4,63.1,254.79999999999998,400,400,63.1,428.2,3658.5956284614717,0.0001209454371720918,3.322648120934572e-05
32,1,0,1,1,1,59,62,1167.8,60,466.2,1000.0,701.5999999999999,11.0,307.66363636363633,0.5454545454545454,1.0,1.0,857.8,0.0,-1.0,760.9,1.4,156.2,857.8,400,400,156.2,857.8,6729.688757997405,7.915844424088295e-05,8.252620065586826e-06
32,1,0,1,1,1,68,71,520.9,69,310,1000.0,210.89999999999998,16.0,210.65625000000003,0.625,1.0,1.0,210.9,0.0,-1.0,356.8,1.4,0.0,210.9,400,400,0,210.9,2576.3816458536626,0.00012258210577259678,1.0034447399921072e-05
35,1,0,1,1,1,57,60,998.7,58,425.1,1000.0,573.6,17.0,281.99411764705883,0.47058823529411764,1.0,6.0,765.2166666666666,1.0,1.0,849.1,1.4,115.1,688.7,400,400,115.1,688.7,5313.1334544491765,0.00010065872838235742,1.086700477131268e-05
36,1,0,1,1,1,0,3,497.6,1,489.8,1000.0,7.800000000000011,11.0,278.5454545454545,0.0,1.0,2.0,210.14999999999998,0.0,1.0,342.6,1.4,179.8,187.6,400,400,179.8,187.6,2078.852999531151,0.00011693473754951105,4.3874720968336566e-07
36,171,0,1,2,1,19,,4011.9,20,310,1000.0,3701.9,3.0,305.9666666666667,0.3333333333333333,1.0,0.9941520467836257,621.8999999999985,0.0,3.6140350877192984,776.6,1.4,0.0,618.2631578947353,400,650,0,621.9,5314.2787696486785,0.00010064163526828142,7.010645954959583e-05
37,1,0,1,1,1,27,30,827.9,28,494.2,1000.0,333.7,10.0,316.19,0.3,1.0,5.0,633.4399999999999,0.0,1.0,646.6,1.4,184.2,517.9,400,400,184.2,517.9,4678.839407227336,0.00010973040883823396,7.826094089221541e-06
38,158,0,1,2,1,46,,4088.8,47,348.4,1000.0,3740.4,13.0,195.18461538461537,0.46153846153846156,1.0,0.9936708860759493,968.8000000000002,0.0,-0.9936708860759493,1216.6,1.4,38.4,962.66835443038,400,950,38.4,968.8,9158.363079954654,4.757981183127199e-05,1.943224205242701e-05
42,1,0,1,1,1,31,34,668.6,32,458.6,1000.0,210.0,7.0,267.7,0.2857142857142857,1.0,10.0,508.26000000000005,0.4,1.0,539.1,1.4,148.6,358.6,400,400,148.6,358.6,3044.5863737673276,0.0001237449097229779,8.535291120570222e-06
43,1,0,137,2,2,90,,3164.9,,3164.9,1000.0,0.0,0.014598540145985401,525.3,1.0,-0.0072992700729927005,1.0,464.9,0.0,-1.0,130.3,1.4,3.3934306569343065,464.9,500,500,464.9,464.9,836.2263607158621,7.145394452743242e-05,0.0
44,1,0,1,1,1,6,9,808.7,7,563.4,1000.0,245.30000000000007,5.0,423.86,0.0,1.0,2.0,534.3,0.0,1.0,575.2,1.4,253.4,498.7,400,400,253.4,498.7,1973.6074067613074,0.00011501642456934279,1.4295410956710096e-05
44,144,0,1,2,1,74,,3611.6,75,310,1000.0,3301.6,17.0,210.9705882352941,0.6470588235294118,1.0,0.006944444444444444,771.6,0.0,-0.006944444444444444,633.1,1.4,0.0,5.358333333333333,400,800,0,771.6,5195.179616883767,0.00010240888672794823,6.508209635758558e-05
45,1,0,1,1,1,24,27,609.1,25,394.1,1000.0,215.0,10.0,199.13000000000002,0.4,1.0,3.0,548.0666666666667,0.3333333333333333,1.0,375.2,1.4,84.1,299.1,400,400,84.1,299.1,2649.5701503949444,0.0001229978191321129,9.98068728599711e-06
46,1,0,1,1,1,29,32,636.5,30,469.5,1000.0,167.0,8.0,270.525,0.375,1.0,1.0,326.5,1.0,1.0,423.7,1.4,159.5,326.5,400,400,159.5,326.5,2382.3622615632503,0.00012099748780593892,8.48174133279492e-06
49,1,0,1,1,1,23,26,619.5,24,590.3,1000.0,29.200000000000045,9.0,331.44444444444446,0.1111111111111111,1.0,5.0,402.21999999999997,0.2,1.0,327.1,1.4,280.3,309.5,400,400,280.3,309.5,1905.699242778775,0.00011362574521099844,1.7410259109528954e-06
49,1,0,1,1,1,34,37,928,35,310,1000.0,618,12.0,202.35833333333332,0.4166666666666667,1.0,2.0,678.4,0.5,1.0,555.4,1.4,0.0,618.0,400,400,0,618,3872.9511720232476,0.00011912248503041374,1.900816521534855e-05
49,1,0,1,1,1,65,68,631.6,66,310,1000.0,321.6,14.0,344.17857142857144,0.5714285714285714,1.0,9.0,458.3222222222223,0.5555555555555556,1.0,531.3,1.4,0.0,321.6,400,400,0,321.6,2875.0846743911115,0.00012371393871229668,1.383834119539475e-05
50,11,0,1,1,1,35,58,3923,36,450.7,1000.0,3472.3,11.0,293.5090909090909,0.45454545454545453,1.0,0.09090909090909091,413.0,1.0,-0.09090909090909091,547.9,1.4,140.7,37.54545454545455,400,400,140.7,413,4017.499320073682,0.00011770231318082781,0.00010172938673958327
