Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
1,3,11,1,1,1,56,71,1504,57,661.7,500.0,842.3,4.0,321.54999999999995,0.25,1.0,4.0,423.29999999999995,0.09027777777777778,1.0,503.9,1.4,202.1,351.7,400,450,351.7,474,3086.9398141584093,0.00017510950524071144,4.778024358873438e-05
3,112,0,1,2,1,57,,2555.2,58,555.6,500.0,1999.6,3.0,268.26666666666665,0.3333333333333333,1.0,0.017857142857142856,400.25,0.0,-0.008928571428571428,585.4,1.4,245.6,3.082142857142857,400,400,245.6,345.2,3706.1177238937203,0.0001385933096243641,7.477668076709634e-05
4,3,0,1,1,1,20,32,1758.8,21,588.2,500.0,1170.6,8.0,435.11249999999995,0.25,1.0,2.0,679.15,0.0,1.0,496.7,1.4,278.2,599.5,400,400,278.2,758.8,2873.726639800297,0.00018816543875211028,7.664836994326197e-05
5,2,0,1,1,1,64,69,769.1,65,449.1,500.0,320.0,8.0,289.3,0.375,1.0,6.0,325.53333333333336,0.38888888888888884,1.0,272.7,1.4,139.1,139.1,400,400,139.1,139.1,1246.024402307618,0.00024396459943362906,6.265420779414859e-05
9,1,0,1,1,1,21,24,587.3,22,519.3,500.0,68.0,2.0,267.70000000000005,0.0,1.0,3.0,405.3333333333333,0.3333333333333333,1.0,367.7,1.4,209.3,277.3,400,400,209.3,277.3,1919.0743031013658,0.00023888514004033614,8.464596444489434e-06
9,1,0,1,1,1,45,48,694.5,46,310,500.0,384.5,4.0,216.6,0.25,1.0,6.0,592.6999999999999,0.16666666666666666,1.0,519.3,1.4,0.0,384.5,400,400,0,384.5,2672.383123462232,0.00020037197967466292,2.8829334203059197e-05
10,1,0,1,1,1,41,44,471.1,42,471.1,500.0,0.0,6.0,268.9,0.3333333333333333,1.0,7.0,302.0,0.14285714285714285,1.0,259.5,1.4,161.1,161.1,400,400,161.1,161.1,736.8795875790686,0.0002032345097950233,0.0
10,1,0,1,1,1,49,52,310,50,310,500.0,0,3.0,118.06666666666668,0.6666666666666666,1.0,4.0,185.025,0.75,1.0,119.3,1.4,0.0,0.0,400,400,0,0,596.0517255950197,0.00018073517143201185,0.0
11,1,0,1,1,1,35,38,562.1,36,437.8,500.0,124.30000000000001,8.0,275.07500000000005,0.125,1.0,5.0,404.65999999999997,0.4,1.0,436.6,1.4,127.8,252.1,400,400,127.8,252.1,3087.7866038322177,0.00017505775639990194,7.047015196420024e-06
15,1,0,1,1,1,67,70,578.3,68,399.2,500.0,179.09999999999997,9.0,267.3888888888889,0.6666666666666666,1.0,3.0,305.6666666666667,0.3333333333333333,1.0,460.3,1.4,89.2,268.3,400,400,89.2,268.3,2501.9019401478977,0.00021039369134661653,1.5061145888855862e-05
22,1,0,1,1,1,61,64,398.2,62,398.2,500.0,0.0,6.0,185.98333333333335,0.3333333333333333,1.0,8.0,300.25,0.4583333333333333,1.0,336.4,1.4,88.2,88.2,400,400,88.2,88.2,2084.31910586939,0.00023214950264244057,0.0
23,1,0,1,1,1,53,56,387.9,54,387.9,500.0,0.0,4.0,126.85,0.25,1.0,8.0,250.85000000000002,0.6916666666666667,1.0,207.2,1.4,77.9,77.9,400,400,77.9,77.9,1424.7608319005672,0.00024734630413015646,0.0
26,1,1,1,1,1,59,62,937.5,60,460,500.0,477.5,2.0,229.1,1.0,-1.0,4.0,597.9,0.25,-1.0,318,1.4,150.0,308.2,400,400,150,627.5,2044.2342059267364,0.00023391025072811228,5.463764592082976e-05
30,1,0,1,1,1,52,55,491.9,53,491.9,500.0,0.0,5.0,250.34,0.4,1.0,6.0,364.88333333333327,0.7555555555555555,1.0,378.6,1.4,181.9,181.9,400,400,181.9,181.9,2612.0248827247538,0.00020396499576336028,0.0
34,1,0,1,1,1,51,54,626.7,52,508.5,500.0,118.20000000000005,5.0,308.0,0.2,1.0,3.0,355.3,0.0,1.0,168.7,1.4,198.5,316.7,400,400,198.5,316.7,849.5152096763243,0.00021719691007800917,3.022038272981869e-05
37,1,0,1,1,1,58,61,527.8,59,527.8,500.0,0.0,7.0,336.8285714285715,0.14285714285714285,1.0,3.0,292.93333333333334,0.0,-1.0,327.1,1.4,217.8,217.8,400,400,217.8,217.8,1282.5845071745093,0.0002450198906812534,0.0
39,108,0,1,2,1,66,,2513.4,67,703.4,500.0,1810.0,1.0,393.4,0.0,2.0,0.027777777777777776,437.56666666666666,0.0,-0.009259259259259259,273.7,1.4,393.4,3.6425925925925924,400,400,393.4,393.4,1167.5372284054622,0.00024099573422543642,0.000373608882299859
42,1,0,1,1,1,34,37,541.6,35,429.4,500.0,112.20000000000005,4.0,197.275,0.0,1.0,7.0,351.11428571428576,0.07142857142857142,1.0,368.4,1.4,119.4,231.6,400,400,119.4,231.6,2491.858544124601,0.00021097017247288807,9.499276516827205e-06
43,1,0,1,1,1,46,49,424.7,47,424.7,500.0,0.0,4.0,245.02499999999998,0.25,1.0,3.0,168.36666666666667,0.3333333333333333,1.0,96,1.4,114.7,114.7,400,400,114.7,114.7,755.4051218103041,0.0002057627015544277,0.0
45,1,0,1,1,1,65,68,465.6,67,393.7,500.0,71.90000000000003,6.0,230.35,0.3333333333333333,1.0,4.0,332.575,0.55,1.0,467.2,1.4,73.7,155.6,400,400,73.7,155.6,1915.4419358512057,0.00023901651936110685,8.971970081894755e-06
52,1,1,1,1,1,0,4,655.9,1,501.5,500.0,154.39999999999998,4.0,252.625,0.0,1.0,3.0,330.53333333333336,0.0,1.0,335,1.4,191.5,291.1,400,400,191.5,335.9,1871.2773775201954,0.00024054949745449595,1.9847855188733683e-05
52,1,0,1,1,1,14,17,645.7,15,645.7,500.0,0.0,5.0,386.91999999999996,0.2,1.0,3.0,376.5666666666666,0.0,1.0,50.6,1.4,335.7,335.7,400,400,335.7,335.7,386.3690963151356,0.0001349093747039519,0.0
56,1,0,1,1,1,28,31,428.4,29,428.4,500.0,0.0,3.0,163.66666666666666,0.3333333333333333,1.0,4.0,211.825,0.0,1.0,128.6,1.4,118.4,118.4,400,400,118.4,118.4,898.0152896977156,0.0002222244151478297,0.0
56,1,0,1,1,1,47,50,310,48,310,500.0,0,2.0,166.4,1.0,1.0,2.0,161.8,0.5,1.0,302.2,1.4,0.0,0.0,400,400,0,0,1460.610708096812,0.0002475258692457403,0.0
57,1,2,1,1,1,68,72,848.9,69,525.6,500.0,323.29999999999995,6.0,346.6000000000001,0.3333333333333333,1.0,9.0,568.2111111111111,0.6981481481481482,1.0,625.8,1.4,215.6,437.8,400,400,215.6,528.9,3249.976978014232,0.00016520121701125463,1.643382516893162e-05
65,1,0,1,1,1,62,65,487.3,63,487.3,500.0,0.0,1.0,177.3,0.0,1.0,2.0,298.85,0.0,1.0,204.7,1.4,177.3,177.3,400,400,177.3,177.3,1275.6822942620447,0.00024483589738756866,0.0
