Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,117.10625,5,,0,0,117.10625
2,,0,0,0.14285714285714285,18.266666666666666,1,-18.266666666666666
3,0.5,77.58541666666666,4,1.0,41.541666666666664,2,36.043749999999996
4,1.0,43.08541666666666,2,0.0,0,0,43.08541666666666
5,1.0,19.247916666666665,1,,0,0,19.247916666666665
6,1.0,30.222916666666666,1,1.0,25.520833333333332,1,4.702083333333334
8,1.0,48.604166666666664,2,1.0,16.831249999999997,1,31.772916666666667
9,0.2,32.35208333333333,1,0.6,53.25,3,-20.897916666666667
10,,0,0,0.16666666666666666,15.0,1,-15.0
11,1.0,20.625,1,0.2857142857142857,47.385416666666664,2,-26.760416666666664
12,1.0,89.56875,3,1.0,84.63125,3,4.9375
13,0.5,24.735416666666666,1,1.0,87.95,3,-63.21458333333334
14,1.0,62.175,3,1.0,51.55208333333333,3,10.622916666666669
16,,0,0,1.0,93.85624999999999,3,-93.85624999999999
17,1.0,64.375,2,0.6666666666666666,54.6625,2,9.712499999999999
19,0.2,15.625,1,1.0,21.825,1,-6.199999999999999
20,,29.65208333333333,1,,0,0,29.65208333333333
21,1.0,44.4625,2,1.0,51.077083333333334,2,-6.614583333333336
22,1.0,18.145833333333332,1,1.0,15.758333333333333,1,2.3874999999999993
23,1.0,23.679166666666667,1,1.0,21.164583333333333,1,2.5145833333333343
24,1.0,40.9375,2,1.0,25.41875,1,15.51875
25,1.0,26.9,1,1.0,30.425,1,-3.525000000000002
26,1.0,15.0,1,1.0,59.67708333333333,3,-44.67708333333333
28,1.0,15,1,0.25,19.320833333333333,1,-4.320833333333333
30,,0,0,1.0,44.34583333333333,2,-44.34583333333333
31,1.0,23.264583333333334,1,,0,0,23.264583333333334
33,1.0,15.0,1,0.5,17.54375,1,-2.5437499999999993
34,,0,0,1.0,55.6625,1,-55.6625
39,1.0,21.366666666666667,1,,0,0,21.366666666666667
40,,0,0,1.0,43.18125,2,-43.18125
41,1.0,50.5875,2,,0,0,50.5875
43,1.0,17.108333333333334,1,1.0,17.852083333333333,1,-0.7437499999999986
45,1.0,94.12708333333332,4,,0,0,94.12708333333332
46,,0,0,0.25,22.75208333333333,1,-22.75208333333333
47,1.0,16.360416666666666,1,0.0,0,0,16.360416666666666
