Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,15.0,1,,0,0,15.0
2,1.0,18.545833333333334,1,0.1111111111111111,27.68125,1,-9.135416666666664
3,1.0,28.4375,1,0.0,0,0,28.4375
4,1.0,25.98125,1,0.0,0,0,25.98125
5,1.0,38.83958333333333,2,0.14285714285714285,42.729166666666664,2,-3.8895833333333343
6,1.0,17.914583333333333,1,0.1111111111111111,22.75,1,-4.835416666666667
9,1.0,15.049999999999999,1,0.09090909090909091,29.7375,1,-14.687500000000002
10,1.0,62.83749999999999,2,0.125,29.787499999999998,1,33.05
11,1.0,29.86875,1,1.0,31.802083333333332,1,-1.9333333333333336
12,1.0,21.79375,1,0.15384615384615385,45.043749999999996,2,-23.249999999999996
13,1.0,58.41041666666666,3,1.0,31.725,2,26.68541666666666
14,1.0,88.97083333333333,3,,0,0,88.97083333333333
17,1.0,41.5,2,0.2222222222222222,44.547916666666666,2,-3.0479166666666657
18,1.0,35.68541666666667,2,,0,0,35.68541666666667
19,1.0,28.554166666666664,1,1.0,28.856249999999996,1,-0.30208333333333215
21,1.0,47.602083333333326,2,1.0,42.50208333333333,2,5.099999999999994
22,1.0,15.254166666666666,1,1.0,17.552083333333332,1,-2.2979166666666657
23,,0,0,0.2,16.799999999999997,1,-16.799999999999997
24,1.0,23.497916666666665,1,1.0,21.33958333333333,1,2.158333333333335
25,,0,0,0.07142857142857142,26.93125,1,-26.93125
30,1.0,23.724999999999998,1,0.0,0,0,23.724999999999998
31,1.0,33.572916666666664,1,0.08333333333333333,34.764583333333334,1,-1.19166666666667
33,1.0,28.099999999999998,1,1.0,25.358333333333334,1,2.7416666666666636
35,1.0,16.758333333333333,1,0.3333333333333333,28.597916666666666,1,-11.839583333333334
38,1.0,36.628125,1,,0,0,36.628125
40,,0,0,1.0,49.42708333333333,2,-49.42708333333333
42,1.0,15,1,1.0,15,1,0
44,1.0,22.4,1,0.125,25.520833333333332,1,-3.1208333333333336
45,1.0,23.40208333333333,1,1.0,24.081249999999997,1,-0.6791666666666671
