Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
1,,0,0,0.2,19.210416666666667,1,-19.210416666666667
2,,0,0,0.1,24.90208333333333,1,-24.90208333333333
4,1.0,29.949999999999996,1,,0,0,29.949999999999996
6,1.0,48.02291666666666,2,1.0,27.60625,1,20.41666666666666
7,1.0,49.49791666666667,2,,0,0,49.49791666666667
8,1.0,24.179166666666667,1,0.25,53.131249999999994,2,-28.952083333333327
9,1.0,35.84166666666666,2,0.13333333333333333,36.33958333333333,2,-0.49791666666666856
10,1.0,28.235416666666666,1,0.10526315789473684,49.37708333333333,2,-21.141666666666666
11,,0,0,0.16666666666666666,25.99375,1,-25.99375
12,,0,0,0.1111111111111111,28.508333333333333,1,-28.508333333333333
13,1.0,39.93125,2,,0,0,39.93125
14,1.0,45.97083333333333,2,0.5,23.7,1,22.270833333333332
15,1.0,64.91458333333333,2,0.21428571428571427,89.87916666666666,3,-24.964583333333337
20,,0,0,0.25,15.0,1,-15.0
21,1.0,26.65625,1,,0,0,26.65625
22,1.0,98.09791666666666,3,0.5,59.08958333333332,2,39.00833333333334
24,1.0,97.21666666666665,4,0.15384615384615385,44.4375,2,52.779166666666654
26,1.0,15.0,1,0.1111111111111111,16.966666666666665,1,-1.966666666666665
27,0.4,45.420833333333334,2,0.4,38.36458333333333,2,7.056250000000006
29,1.0,21.4,1,0.14285714285714285,25.510416666666664,1,-4.110416666666666
31,1.0,21.349999999999998,1,0.25,20.568749999999998,1,0.78125
32,1.0,22.191666666666666,1,0.0,0,0,22.191666666666666
33,,0,0,0.18181818181818182,58.47291666666666,2,-58.47291666666666
35,1.0,15.3125,1,0.1111111111111111,15.816666666666666,1,-0.5041666666666664
36,1.0,25.53125,1,0.0,0,0,25.53125
37,,0,0,1.0,15.052083333333332,1,-15.052083333333332
38,,0,0,0.1111111111111111,22.229166666666664,1,-22.229166666666664
39,1.0,16.0,1,,0,0,16.0
40,,0,0,1.0,33.422916666666666,1,-33.422916666666666
41,1.0,47.227083333333326,2,0.5,25.466666666666665,1,21.76041666666666
45,,0,0,0.06666666666666667,21.662499999999998,1,-21.662499999999998
46,1.0,42.287499999999994,2,0.14285714285714285,29.272916666666664,1,13.01458333333333
47,,0,0,0.25,15.0,1,-15.0
