Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,6,23,1,1,1,12,41,2376.6,13,512.3,500.0,1864.3,5.0,270.02,0.2,1.0,5.333333333333333,591.746875,0.15755208333333334,1.0833333333333333,704.5,1.4,202.3,300.25,400,550,202.3,306.6,3791.170514838124,0.00013388723691852266,6.583876267508361e-05
1,124,0,1,2,1,33,,3199.3,34,448.8,500.0,2750.5,4.0,274.85,0.5,1.0,0.008064516129032258,749.3,0.0,-0.008064516129032258,726.7,1.4,138.8,6.04274193548387,400,750,138.8,749.3,6494.439497364835,3.719296175073738e-05,1.5751819897146136e-05
6,1,0,1,1,1,36,39,375.5,37,375.5,500.0,0.0,3.0,209.0666666666667,0.0,1.0,5.0,266.62,0.0,1.0,164,1.4,65.5,65.5,400,400,65.5,65.5,879.1750962192233,0.00022033808946809647,0.0
10,1,0,1,1,1,15,18,414.7,16,414.7,500.0,0.0,7.0,332.62857142857143,0.0,1.0,6.0,324.3,0.0,1.0,281.2,1.4,104.7,104.7,400,400,104.7,104.7,478.21374426571583,0.00015697107958451625,0.0
10,1,0,1,1,1,65,68,556.6,66,310,500.0,246.60000000000002,12.0,198.91666666666666,0.75,1.0,5.0,401.76000000000005,0.3761904761904762,1.0,384.9,1.4,0.0,246.6,400,400,0,246.6,1901.1497187552827,0.00023952576350292585,3.1069122382688405e-05
13,1,0,1,1,1,0,3,451,1,451,500.0,0,4.0,193.125,0.0,1.0,2.0,235.9,0.0,1.0,288.2,1.4,141.0,141.0,400,400,141,141,1564.675652210749,0.0002472275282959742,0.0
13,1,0,1,1,1,13,16,515,14,310,500.0,205,6.0,224.6,0.3333333333333333,1.0,6.0,378.15000000000003,0.0,1.0,427.6,1.4,0.0,205.0,400,400,0,205,2517.8721220208954,0.00020947332007994853,1.7054889420644325e-05
16,1,0,109,2,2,66,,2465.7,,2465.7,500.0,0.0,0.009174311926605505,325.7,0.0,-0.009174311926605505,2.0,393.04999999999995,0.0,-1.0,224.8,1.4,2.9880733944954128,325.7,400,400,325.7,325.7,1347.5953213390787,0.00024641948268744557,0.0
17,1,0,1,1,1,44,48,652.5,45,627.3,500.0,25.200000000000045,1.0,317.3,0.0,1.0,6.0,435.7,0.6666666666666666,1.0,198.7,1.4,317.3,317.3,400,400,317.3,332.5,1267.4084025031852,0.0002446060772580649,4.8635255492459575e-06
17,1,0,1,1,1,57,60,543.8,58,543.8,500.0,0.0,5.0,363.7,0.5,1.0,5.0,395.64000000000004,0.24166666666666664,1.0,315.1,1.4,233.8,233.8,450,400,233.8,233.8,1112.609929892801,0.0002383056756848427,0.0
