Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,1,0,1,1,1,21,24,685.4,22,432.7,500.0,252.7,10.0,202.7,0.2,1.0,6.0,644.2333333333333,0.3333333333333333,1.0,571.9,1.4,122.7,375.4,400,400,122.7,375.4,4001.8977236497753,0.00012264378352659205,7.744346866742181e-06
2,1,0,1,1,1,24,27,708.2,25,444,500.0,264.20000000000005,4.0,248.35,0.5,1.0,8.0,634.55,0.5,1.0,637.6,1.4,134.0,398.2,400,400,134,398.2,4046.1059785338734,0.00012036401822423496,7.859451478422676e-06
4,5,19,1,1,1,22,40,2130.4,23,445.8,500.0,1684.6000000000001,7.0,319.5428571428571,0.2857142857142857,1.0,5.0,605.5599999999998,0.09133333333333332,1.0,581.3,1.4,135.8,470.4,400,500,135.8,470.4,3619.40508172086,0.00014348369211495475,6.678241928696459e-05
6,1,0,1,1,1,9,12,505.8,10,505.8,500.0,0.0,6.0,276.4,0.0,1.0,9.0,299.1888888888889,0.0,1.0,132.8,1.4,195.8,195.8,400,400,195.8,195.8,255.7130575964416,9.749395149122135e-05,0.0
6,2,7,1,1,1,67,76,1108.8,68,310,500.0,798.8,11.0,183.85454545454544,0.5454545454545454,1.0,9.5,554.9052631578948,0.1310359231411863,1.0,517.7,1.4,0.0,438.8,400,450,0,438.8,3889.3095781640604,0.00012857503077783164,2.6407189379307242e-05
9,1,0,1,1,1,34,37,425,35,425,500.0,0,6.0,227.01666666666665,0.5,1.0,3.0,200.80000000000004,0.6666666666666666,1.0,164.8,1.4,115.0,115.0,400,400,115,115,661.7725354210058,0.0001919818442615837,0.0
10,1,0,1,1,1,60,63,462,61,462,500.0,0,10.0,336.16999999999996,0.7,1.0,7.0,333.80000000000007,0.5714285714285714,1.0,247.4,1.4,152.0,152.0,400,400,152,152,818.3848473608712,0.00021366731901478346,0.0
11,1,0,1,1,1,11,14,479.6,12,479.6,500.0,0.0,6.0,265.7833333333333,0.0,1.0,8.0,310.0625,0.125,1.0,156.2,1.4,169.6,169.6,400,400,169.6,169.6,1189.375079921722,0.0002419219129839263,0.0
11,1,0,1,1,1,36,39,560.3,37,310,500.0,250.29999999999995,9.0,175.31111111111107,0.3333333333333333,1.0,3.0,337.1333333333334,0.3333333333333333,1.0,353.5,1.4,0.0,250.3,400,400,0,250.3,2350.4417447723267,0.00021886538621603566,2.330711079809388e-05
11,4,31,1,1,1,44,76,1906.8,45,310,500.0,1596.8,7.0,256.37142857142857,0.7142857142857143,1.0,12.0,684.50625,0.3067708333333333,1.0,677.6,1.4,0.0,406.8,400,450,0,406.8,4390.321155704719,0.00010359928041132274,3.7680006790812174e-05
12,1,0,1,1,1,25,28,499.5,26,499.5,500.0,0.0,5.0,325.08000000000004,0.2,1.0,1.0,189.5,0.0,1.0,292.4,1.4,189.5,189.5,400,400,189.5,189.5,1570.3445331628616,0.0002471784954611042,0.0
15,4,0,1,1,1,37,46,1576.7,38,465.8,500.0,1110.9,7.0,294.2,0.7142857142857143,1.0,9.25,390.74324324324317,0.5675675675675675,1.0,379.3,1.4,155.8,317.5,400,400,155.8,306.7,2360.6178342685453,0.0002183128257723867,0.00010273739130065166
18,113,0,1,2,1,55,,2387.6,56,467.6,500.0,1920.0,2.0,245.45,0.5,1.0,0.008849557522123894,157.6,0.0,-0.008849557522123894,614.5,1.4,157.6,1.3946902654867257,400,400,157.6,157.6,3543.5235600623037,0.000147835083730953,8.010201031609315e-05
19,118,0,1,2,1,46,,2655.8,47,645.8,500.0,2010.0000000000002,2.0,370.05,0.0,1.0,0.00847457627118644,335.8,0.0,-0.00847457627118644,413.1,1.4,335.8,2.8457627118644067,400,400,335.8,335.8,2603.548605308202,0.00020446607693230988,0.00015785256084562034
20,1,0,1,1,1,19,22,473.6,20,473.6,500.0,0.0,4.0,193.175,0.25,1.0,3.0,165.53333333333333,0.3333333333333333,1.0,195.4,1.4,84.2,84.2,400,400,163.6,163.6,1449.1156008903831,0.00024748487426673254,0.0
21,1,0,1,1,1,31,34,685.6,32,434.3,500.0,251.3,7.0,304.9142857142857,0.42857142857142855,1.0,4.0,462.37499999999994,0.25,1.0,400.9,1.4,124.3,375.6,400,400,124.3,375.6,2496.838931888963,0.0002106845319878808,2.1204821108944868e-05
21,110,0,1,2,1,61,,2659,62,310,500.0,2349,7.0,275.04285714285714,0.5714285714285714,1.0,0.01818181818181818,678.6,0.0,-0.00909090909090909,920,1.4,0.0,4.445454545454545,400,500,0,489,5916.673965359161,4.9986440403337576e-05,1.9845296393699854e-05
23,1,0,1,1,1,52,56,650.9,53,508,500.0,142.89999999999998,1.0,198.0,1.0,3.0,2.0,264.45,0.0,3.0,251.7,1.4,198.0,198.0,550,550,198,330.9,1060.6187236515857,0.0002352585899523936,3.169701963062905e-05
25,1,0,1,1,1,14,17,575.2,15,360.3,500.0,214.90000000000003,7.0,228.21428571428572,0.2857142857142857,1.0,4.0,343.35,0.0,1.0,378.1,1.4,50.3,265.2,400,400,50.3,265.2,2534.5991755850255,0.00020850465396270957,1.7678396871664722e-05
26,1,0,1,1,1,30,34,707.6,31,637.8,500.0,69.80000000000007,4.0,400.875,0.25,2.0,4.0,436.15,0.0,1.0,376.6,1.4,327.8,387.6,400,400,327.8,387.6,2120.7703627775686,0.00023048575671781861,7.585878273889804e-06
27,1,0,1,1,1,38,41,503.5,39,503.5,500.0,0.0,9.0,266.1333333333334,0.3333333333333333,1.0,9.0,284.2555555555556,0.3888888888888889,1.0,171.3,1.4,193.5,193.5,400,400,193.5,193.5,814.0539250866034,0.0002131569188949764,0.0
28,100,0,5,2,1,70,,2340.6,83,2121.5,500.0,219.0999999999999,1.0,491.5,0.45666666666666667,1.0,0.01,380.6,0.0,-0.01,675.7,1.4,491.5,3.806,500,500,491.5,380.6,3253.6877328702476,0.0001649773552318841,1.1109406156631707e-05
30,2,1,1,1,1,35,42,989.8,36,578.1,500.0,411.69999999999993,3.0,287.7666666666667,0.3333333333333333,1.0,5.0,527.8799999999999,0.45,1.0,480.1,1.4,268.1,401.6,400,400,268.1,339.8,3028.291044664433,0.00017869797454530805,2.429421579208073e-05
31,1,0,1,1,1,16,19,430.9,17,430.9,500.0,0.0,5.0,270.2,0.0,1.0,7.0,361.38571428571424,0.0,1.0,284.1,1.4,120.9,120.9,400,400,120.9,120.9,1986.0928916778053,0.00023632535153744294,0.0
32,2,6,1,1,1,68,77,1066.2,69,561.2,500.0,505.0,5.0,322.82000000000005,0.8,1.0,6.0,539.2833333333334,0.40277777777777773,1.0,496.3,1.4,73.7,439.65,400,400,251.2,396.2,2571.7599030042566,0.00020633667911860255,4.051701048498765e-05
35,1,0,1,1,1,69,73,540.8,71,540.8,500.0,0.0,8.0,294.3625,0.625,1.0,3.0,262.06666666666666,0.5555555555555555,1.0,358.9,1.4,220.8,220.8,400,400,220.8,220.8,1856.6924594274185,0.00024102871816719044,0.0
36,1,0,1,1,1,17,20,499.4,18,457.5,500.0,41.89999999999998,2.0,168.45,0.5,1.0,5.0,417.3,0.0,1.0,279.6,1.4,147.5,189.4,400,400,147.5,189.4,2083.753163387658,0.00023217487497056302,4.668560284487391e-06
36,1,0,1,1,1,29,32,627.2,30,310,500.0,317.20000000000005,3.0,232.36666666666665,0.3333333333333333,1.0,6.0,503.1166666666666,0.3333333333333333,1.0,471.9,1.4,0.0,317.2,400,400,0,317.2,2461.8618770019693,0.0002126806917292013,2.7402965229981784e-05
37,1,0,1,1,1,58,61,490.3,59,490.3,500.0,0.0,2.0,248.9,0.5,1.0,4.0,332.1,0.25,1.0,165,1.4,180.3,180.3,400,400,180.3,180.3,749.8734034359305,0.00020501769987303788,0.0
38,1,0,1,1,1,23,26,506.9,24,506.9,500.0,0.0,6.0,406.55,0.16666666666666666,1.0,5.0,390.35999999999996,0.4,1.0,115.3,1.4,196.9,196.9,400,400,196.9,196.9,368.3216390190578,0.00013017915876360842,0.0
