Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
1,1.0,29.710416666666664,1,1.0,17.1375,1,12.572916666666664
2,1.0,27.485416666666666,1,1.0,24.30833333333333,1,3.1770833333333357
4,1.0,65.1125,3,1.0,23.71458333333333,1,41.39791666666667
5,1.0,46.40208333333333,2,0.0,0,0,46.40208333333333
6,1.0,19.797916666666666,1,1.0,39.86458333333333,2,-20.066666666666663
8,0.5,36.329166666666666,2,0.0,0,0,36.329166666666666
9,,0,0,0.6666666666666666,60.764583333333334,2,-60.764583333333334
10,1.0,15.0,1,1.0,15.0,1,0.0
11,,0,0,0.5,23.12708333333333,1,-23.12708333333333
13,,0,0,1.0,22.45,1,-22.45
14,,0,0,0.25,20.8875,1,-20.8875
15,1.0,26.31458333333333,1,,0,0,26.31458333333333
16,1.0,15.0,1,1.0,15.441666666666666,1,-0.44166666666666643
18,,0,0,1.0,31.00208333333333,1,-31.00208333333333
19,0.5,33.731249999999996,1,0.5,33.22083333333333,1,0.5104166666666643
20,1.0,25.43333333333333,1,,0,0,25.43333333333333
23,,0,0,1.0,48.764583333333334,2,-48.764583333333334
24,1.0,16.75625,1,1.0,34.49791666666667,2,-17.741666666666667
25,1.0,46.820833333333326,2,1.0,29.320833333333333,1,17.499999999999993
26,1.0,34.21041666666667,2,,0,0,34.21041666666667
27,1.0,24.34583333333333,1,0.6666666666666666,43.539583333333326,2,-19.193749999999994
29,1.0,37.89791666666666,2,0.25,21.05625,1,16.84166666666666
30,1.0,28.287499999999998,1,0.3333333333333333,30.65,1,-2.3625000000000007
31,1.0,35.68958333333333,1,1.0,33.93958333333333,1,1.75
33,1.0,70.01666666666665,3,1.0,107.87916666666666,4,-37.86250000000001
34,,0,0,1.0,25.247916666666665,1,-25.247916666666665
35,,0,0,1.0,21.729166666666664,1,-21.729166666666664
36,1.0,28.78125,1,1.0,28.604166666666664,1,0.1770833333333357
37,,0,0,1.0,20.585416666666667,1,-20.585416666666667
38,1.0,20.629166666666666,1,0.3333333333333333,18.98125,1,1.6479166666666671
40,1.0,40.85625,2,,0,0,40.85625
41,1.0,23.954166666666666,1,1.0,22.022916666666667,1,1.9312499999999986
42,1.0,53.55208333333333,2,1.0,26.514583333333334,1,27.037499999999994
43,1.0,22.529166666666665,1,,0,0,22.529166666666665
44,1.0,52.5,2,1.0,29.31041666666667,1,23.18958333333333
45,1.0,42.8125,2,0.3333333333333333,21.160416666666666,1,21.652083333333334
46,1.0,31.004166666666666,1,0.3333333333333333,30.40625,1,0.5979166666666664
47,1.0,57.37916666666666,2,0.6666666666666666,55.2625,2,2.11666666666666
