Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
3,110,0,1,2,1,61,,2494.7,62,634.7,500.0,1859.9999999999998,3.0,367.9333333333334,0.6666666666666666,1.0,0.02727272727272727,367.9333333333334,0.0,-0.00909090909090909,289.1,1.4,324.7,2.9518181818181817,400,400,324.7,324.7,1445.3203241174963,0.0002474679333159001,0.00031846944119368466
4,1,0,1,1,1,56,59,557.8,57,557.8,500.0,0.0,7.0,342.37142857142857,0.7142857142857143,1.0,7.0,348.5857142857143,0.42857142857142855,1.0,100.9,1.4,247.8,247.8,400,400,247.8,247.8,573.0357273134836,0.00017646841743246443,0.0
5,1,0,1,1,1,69,72,559.8,70,559.8,500.0,0.0,4.0,298.8,0.5,1.0,4.0,298.8,0.25,1.0,82.2,1.4,249.8,249.8,400,400,249.8,249.8,317.45948455041093,0.00011610938010132958,0.0
7,2,2,1,1,1,24,30,1505.4,25,560.8,500.0,944.6000000000001,6.0,341.28333333333336,0.16666666666666666,1.0,1.5,857.1333333333333,0.8333333333333334,1.0,870.9,1.4,250.8,853.0,400,400,250.8,865.4,6095.198096562217,4.566543894304395e-05,7.076976489070705e-06
10,2,1,1,1,1,63,69,1160.7,64,477.2,500.0,683.5,3.0,223.33333333333334,0.0,1.0,1.0,520.7,0.0,1.0,451.8,1.4,167.2,520.7,400,400,167.2,520.7,2334.3650039412614,0.00021973279503204832,6.433756724027041e-05
11,1,0,1,1,1,62,65,683.9,63,476.6,500.0,207.29999999999995,11.0,274.40909090909093,0.4090909090909091,1.0,2.0,454.84999999999997,0.5,-1.0,257.7,1.4,166.6,373.9,400,400,166.6,373.9,2031.7283612707938,0.0002344440177956575,2.3920641073613592e-05
17,1,0,1,1,1,7,10,555.1,8,555.1,500.0,0.0,4.0,343.7,0.0,1.0,2.0,342.7,0.0,1.0,226.3,1.4,245.1,245.1,400,400,245.1,245.1,1240.5496758524966,0.00024378919112877462,0.0
20,1,2,1,1,1,25,30,985.2,26,535,500.0,450.20000000000005,2.0,240.0,0.0,1.0,6.0,604.9666666666667,0.0,1.0,477.8,1.4,225.0,417.2,400,400,225,655.2,2891.5900848408687,0.0001870727067720129,2.9125889257361683e-05
21,1,0,112,2,2,59,,2772.2,,2772.2,500.0,0.0,0.008928571428571428,562.2,0.5,-0.008928571428571428,1.0,562.2,0.0,1.0,291.9,1.4,5.019642857142857,562.2,600,400,562.2,562.2,2293.6963915258416,0.0002218950920569686,0.0
22,1,0,1,1,1,46,49,827,47,658.1,500.0,168.89999999999998,2.0,367.8,0.5,-1.0,1.0,517.0,1.0,-1.0,224.3,1.4,348.1,517.0,400,400,348.1,517,823.5386614772078,0.00021426847555615098,4.394444027256574e-05
27,1,0,1,1,1,0,3,524.9,1,499.5,500.0,25.399999999999977,3.0,242.86666666666665,0.0,1.0,2.0,269.55,0.0,1.0,366.3,1.4,189.5,214.9,400,400,189.5,214.9,1776.6037029643553,0.00024340293223102825,3.479917591273957e-06
30,1,0,1,1,1,42,45,561.1,43,380.7,500.0,180.40000000000003,7.0,212.34285714285716,0.5714285714285714,1.0,2.0,272.3,0.5,-1.0,549.4,1.4,70.7,251.1,400,400,70.7,251.1,3604.2545857481336,0.00014434729030545862,7.224864545937611e-06
31,1,0,1,1,1,49,52,754.2,50,545.6,500.0,208.60000000000002,9.0,344.5222222222222,0.6666666666666666,1.0,8.0,567.3875,0.3333333333333333,1.0,573.4,1.4,235.6,444.2,400,400,235.6,444.2,3347.4352943143035,0.00015935377791133397,9.93034820680932e-06
33,1,1,1,1,1,45,48,643.8,46,597.2,500.0,46.59999999999991,2.0,310.5,0.0,1.0,2.0,310.5,0.0,1.0,329.1,1.4,287.2,287.2,400,400,287.2,333.8,1488.001557053424,0.000247562213888963,7.752948316848745e-06
37,1,0,1,1,1,6,9,488.6,7,488.6,500.0,0.0,5.0,289.5,0.0,1.0,1.0,178.6,0.0,-1.0,175.7,1.4,178.6,178.6,400,400,178.6,178.6,1487.53444614931,0.0002475623060140059,0.0
38,1,1,1,1,1,26,31,1249.6,27,586,500.0,663.5999999999999,3.0,266.76666666666665,0.0,-1.0,2.0,881.55,0.0,1.0,782.6,1.4,210.0,843.5,400,400,276,919.6,4864.008644577926,8.344815556562736e-05,1.1384888490089345e-05
40,1,0,1,1,1,47,50,616,48,512.2,500.0,103.79999999999995,6.0,358.54999999999995,0.6666666666666666,1.0,8.0,439.9125,0.5,1.0,406,1.4,202.2,306.0,400,400,202.2,306,1762.5307640960207,0.0002437725783185088,1.4356398279628945e-05
