Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
4,1.0,24.04375,1,0.16666666666666666,44.077083333333334,2,-20.033333333333335
5,1.0,20.341666666666665,1,1.0,22.2125,1,-1.8708333333333336
6,,0,0,1.0,19.539583333333333,1,-19.539583333333333
7,1.0,40.39375,2,0.16666666666666666,17.395833333333332,1,22.997916666666665
8,1.0,37.4375,2,1.0,23.08958333333333,1,14.34791666666667
10,1.0,22.037499999999998,1,0.047619047619047616,22.914583333333333,1,-0.877083333333335
11,,0,0,0.1,15.0,1,-15.0
13,1.0,35.92708333333333,2,1.0,21.849999999999998,1,14.07708333333333
15,1.0,20.18125,1,0.05,22.662499999999998,1,-2.4812499999999993
16,1.0,25.5125,1,0.2727272727272727,92.50208333333333,3,-66.98958333333333
17,,0,0,0.25,32.891666666666666,2,-32.891666666666666
18,,0,0,1.0,21.6375,1,-21.6375
19,1.0,17.485416666666666,1,1.0,66.77708333333334,3,-49.29166666666667
22,1.0,16.31458333333333,1,,0,0,16.31458333333333
23,0.75,84.74375,3,0.0,0,0,84.74375
25,1.0,75.0875,3,1.0,49.11875,2,25.968750000000007
26,1.0,73.11666666666666,4,0.0,0,0,73.11666666666666
28,1.0,38.40625,1,0.3333333333333333,68.88749999999999,2,-30.48124999999999
30,,0,0,0.16666666666666666,25.0,1,-25.0
31,1.0,17.0625,1,0.1111111111111111,19.858333333333334,1,-2.7958333333333343
33,1.0,19.40208333333333,1,,0,0,19.40208333333333
34,1.0,15.0,1,0.25,16.927083333333332,1,-1.9270833333333321
36,1.0,44.422916666666666,2,0.1111111111111111,27.35625,1,17.066666666666666
39,1.0,16.41875,1,1.0,36.21458333333333,2,-19.79583333333333
40,1.0,92.23333333333332,4,0.4,45.84375,2,46.38958333333332
41,1.0,59.80416666666666,2,0.09090909090909091,22.43125,1,37.37291666666666
42,1.0,15.0,1,0.0,0,0,15.0
43,1.0,22.541666666666664,1,1.0,41.672916666666666,2,-19.13125
44,1.0,39.03333333333333,2,0.4,40.51875,2,-1.4854166666666657
45,,0,0,0.1,15.983333333333333,1,-15.983333333333333
46,1.0,18.03333333333333,1,1.0,63.07083333333333,3,-45.0375
47,1.0,105.01875,4,1.0,24.854166666666664,1,80.16458333333333
