Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
1,1,0,1,1,1,20,23,614.4,21,614.4,500.0,0.0,3.0,333.5,0.0,1.0,2.0,382.9,0.0,1.0,446.1,1.4,304.4,304.4,400,400,304.4,304.4,2253.0993038972524,0.00022400455207208591,0.0
2,5,27,7,1,1,35,72,2343.4,48,2427.3,500.0,-83.90000000000009,0.2857142857142857,206.75,1.0,-0.2857142857142857,7.4,610.462162162162,0.23197125697125695,1.0,581.4,1.4,59.07142857142857,486.74000000000007,400,500,197.3,493.4,4256.864289580625,0.00010988890169379765,-2.1658380969946142e-06
4,17,45,1,1,1,27,96,6616.4,28,640.6,500.0,5975.799999999999,5.0,393.76,0.2,1.0,3.235294117647059,979.0636363636371,0.009292929292929292,1.0,949.7,1.4,280.7,846.3999999999997,400,850,330.6,846.4,6513.934706415639,3.681839867867552e-05,3.377672585623707e-05
5,1,0,1,1,1,31,34,589.7,32,589.7,500.0,0.0,2.0,364.6,0.5,2.0,2.0,296.7,0.0,-1.0,248.6,1.4,279.7,279.7,400,400,279.7,279.7,1806.8253233949777,0.00024255987464624442,0.0
10,1,0,1,1,1,6,9,356.4,7,356.4,500.0,0.0,10.0,240.56,0.0,1.0,14.0,301.5857142857143,0.0,1.0,132.4,1.4,46.4,46.4,400,400,46.4,46.4,919.6818456612556,0.0002242918390961122,0.0
10,1,0,1,1,1,25,28,510.6,26,310,500.0,200.60000000000002,7.0,230.4,0.14285714285714285,1.0,7.0,230.4,0.14285714285714285,1.0,221,1.4,0.0,0.0,400,400,0,200.6,370.6979024643163,0.00013080967824562087,7.078653880054655e-05
10,1,0,1,1,1,44,47,592.7,45,310,500.0,282.70000000000005,7.0,240.64285714285714,0.0,1.0,7.0,384.14285714285717,0.31428571428571433,1.0,259.8,1.4,0.0,282.7,400,400,0,282.7,1782.713086522006,0.0002432378695761469,3.8572300977119634e-05
11,1,0,1,1,1,32,35,513.3,33,448.8,500.0,64.49999999999994,4.0,353.07500000000005,0.25,1.0,4.0,475.29999999999995,0.0,-1.0,534.5,1.4,138.8,203.3,400,400,138.8,203.3,2036.0960563135527,0.00023425846317272003,7.420902775086749e-06
11,1,0,1,1,1,65,68,310,66,310,500.0,0,8.0,298.25,0.5,1.0,3.0,83.93333333333334,1.0,1.0,258.7,1.4,0.0,0.0,400,400,0,0,988.1199114699024,0.00023013573955268915,0.0
12,4,5,1,1,1,29,43,1778.5,30,696,500.0,1082.5,1.0,386.0,0.0,1.0,2.0,531.15,0.26041666666666663,1.0,544.2,1.4,386.0,458.5,400,500,386,458.5,3080.693124253562,0.00017549131616396667,6.166448331121025e-05
13,1,0,1,1,1,50,53,540.2,51,451.6,500.0,88.60000000000002,5.0,217.16,0.4,1.0,6.0,375.59999999999997,0.6666666666666666,1.0,234.4,1.4,141.6,230.2,400,400,141.6,230.2,2367.1044987453124,0.00021795921291582258,8.158146915177513e-06
13,1,0,1,1,1,69,72,310,70,310,500.0,0,5.0,117.71999999999998,0.4,1.0,6.0,140.24999999999997,0.5833333333333334,1.0,325.3,1.4,0.0,0.0,400,400,0,0,619.8447887432991,0.0001849643424475445,0.0
