Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,164.59375,7,,0,0,164.59375
2,1.0,42.481249999999996,2,0.3333333333333333,30.40416666666667,1,12.077083333333327
3,1.0,32.78541666666666,1,,0,0,32.78541666666666
4,1.0,21.12083333333333,1,0.3333333333333333,26.016666666666666,1,-4.895833333333336
8,1.0,33.77708333333333,2,0.125,18.881249999999998,1,14.895833333333332
11,1.0,18.958333333333332,1,0.5,27.035416666666666,1,-8.077083333333334
12,,0,0,1.0,20.30625,1,-20.30625
13,,0,0,1.0,32.014583333333334,1,-32.014583333333334
15,,0,0,1.0,21.81458333333333,1,-21.81458333333333
17,1.0,32.860416666666666,2,0.5,15.322916666666666,1,17.5375
18,1.0,15.0,1,1.0,15.0,1,0.0
20,1.0,15.229166666666666,1,1.0,24.066666666666666,1,-8.8375
21,1.0,22.727083333333333,1,1.0,49.375,2,-26.647916666666667
23,1.0,15.0,1,1.0,31.71875,1,-16.71875
24,1.0,27.912499999999998,1,0.6,81.87916666666666,3,-53.96666666666667
25,1.0,81.08958333333332,4,1.0,41.175,2,39.914583333333326
26,1.0,43.287499999999994,2,,0,0,43.287499999999994
27,1.0,31.041666666666664,2,,0,0,31.041666666666664
28,1.0,15,1,0.0,0,0,15
29,1.0,19.1875,1,,0,0,19.1875
30,1.0,27.53333333333333,1,0.6666666666666666,37.88125,2,-10.34791666666667
31,1.0,18.5625,1,,0,0,18.5625
32,1.0,15.935416666666665,1,0.5,20.46458333333333,1,-4.529166666666665
33,1.0,27.016666666666666,1,1.0,39.77291666666667,2,-12.756250000000001
35,1.0,20.018749999999997,1,1.0,50.3,2,-30.28125
37,1.0,56.09374999999999,3,0.4,40.93958333333333,2,15.154166666666661
39,1.0,118.27499999999998,4,1.0,36.50833333333333,1,81.76666666666665
40,,0,0,1.0,29.177083333333332,1,-29.177083333333332
41,1.0,31.172916666666666,1,1.0,65.14583333333333,2,-33.97291666666666
42,1.0,171.10833333333332,3,,0,0,171.10833333333332
44,1.0,30.87291666666667,1,0.2,46.14583333333333,1,-15.27291666666666
45,,35.327083333333334,1,,0,0,35.327083333333334
46,1.0,17.629166666666666,1,,0,0,17.629166666666666
47,0.4,59.58124999999999,2,0.0,0,0,59.58124999999999
