Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,1,0,1,1,1,0,3,487.1,1,487.1,1000.0,0.0,5.0,239.98000000000002,0.0,1.0,5.0,239.98000000000002,0.0,1.0,95.7,1.4,177.1,177.1,400,400,177.1,177.1,553.212989448593,5.1993722437463484e-05,0.0
2,125,0,1,2,1,31,,2613.2,32,443.5,1000.0,2169.7,4.0,214.97500000000002,0.0,1.0,0.024,287.8,0.0,-0.008,369,1.4,133.5,1.1456,400,400,133.5,143.2,1988.868559806974,0.00011531215717191257,0.00012579654205010948
5,1,2,1,1,1,34,39,1172.9,35,524,1000.0,648.9000000000001,6.0,263.6666666666667,0.3333333333333333,1.0,4.0,824.85,0.5,1.0,863.4,1.4,214.0,756.8,400,400,214,842.9,6037.921168680536,8.963473702790093e-05,9.633113654929593e-06
7,1,1,1,1,1,14,17,687.1,15,384.4,1000.0,302.70000000000005,10.0,228.4,0.0,1.0,2.0,281.95000000000005,0.0,1.0,399.7,1.4,74.4,186.8,400,400,74.4,377.1,2073.3562486400097,0.0001168414462937113,1.7058286927924483e-05
9,1,0,5,1,1,54,69,1152.6,67,2102.8,1000.0,-950.2000000000003,1.0,472.8,0.58,-1.0,1.0,722.6,0.0,2.0,620.2,1.4,472.8,722.6,500,400,472.8,722.6,4302.21397473647,0.00011452924546236262,-2.5295275799247773e-05
18,120,0,1,2,1,42,,3053.5,43,355.9,1000.0,2697.6,4.0,210.82500000000002,0.25,1.0,0.008333333333333333,693.5,0.0,-0.008333333333333333,1155.3,1.4,45.9,5.779166666666667,400,700,45.9,693.5,9338.70002790926,4.566032566411948e-05,1.3189554664291387e-05
19,1,1,1,1,1,39,42,1295.9,40,403.4,1000.0,892.5000000000001,6.0,230.01666666666665,0.5,1.0,4.0,989.45,0.0,1.0,1042.4,1.4,93.4,914.6,400,400,93.4,985.9,8320.004581811252,5.7310752276299514e-05,6.147814692123893e-06
23,1,0,1,1,1,47,50,867.6,48,605.2,1000.0,262.4,3.0,265.8333333333333,0.6666666666666666,1.0,3.0,644.3333333333334,1.0,1.0,489.6,1.4,139.8,557.6,700,400,295.2,557.6,3413.2338954120214,0.00012254493207011714,9.420916104935466e-06
24,1,0,1,1,1,25,28,1478.9,26,364.5,1000.0,1114.4,7.0,279.72857142857146,0.0,1.0,2.0,1216.25,0.0,1.0,1083.2,1.4,54.5,1168.9,400,400,54.5,1168.9,9175.01081924357,4.740004421476631e-05,5.757225829330468e-06
24,4,6,1,1,1,48,60,1863.8,49,310,1000.0,1553.8,11.0,224.4727272727273,0.2727272727272727,1.0,2.25,814.4444444444446,0.2537037037037037,-0.5,781.4,1.4,0.0,563.8,400,450,0,563.8,5273.869898906854,0.00010124361258625002,2.982863215285654e-05
25,1,0,1,1,1,26,29,314.9,27,314.9,1000.0,0.0,4.0,313.45000000000005,0.5,1.0,5.0,338.38,0.2,1.0,189.8,1.4,4.9,4.9,400,400,4.9,4.9,928.2344854352368,7.689800754291499e-05,0.0
27,1,1,1,1,1,43,47,808.8,44,598.9,1000.0,209.89999999999998,5.0,386.43999999999994,0.4,1.0,4.0,534.6500000000001,0.5,1.0,523.8,1.4,288.9,433.1,450,400,288.9,488.8,1936.7677718346179,0.00011427729444836538,1.2384966568289295e-05
28,1,0,1,1,1,66,69,422.3,67,422.3,1000.0,0.0,7.0,290.8857142857143,0.5714285714285714,1.0,6.0,282.75000000000006,0.4305555555555556,1.0,298.3,1.4,112.3,112.3,400,400,112.3,112.3,1365.4992631712512,9.764549585589698e-05,0.0
31,1,0,111,2,2,61,,2709.3,,2550.3,1000.0,159.0,0.02702702702702703,448.26666666666665,0.4761904761904762,-0.009009009009009009,1.0,519.3,0.0,-1.0,627.3,1.4,3.245945945945946,519.3,400,550,360.3,519.3,4039.7187393390404,0.00011747174901439036,4.6235912197055764e-06
32,1,1,1,1,1,44,47,861,45,459.6,1000.0,401.4,4.0,225.25,0.25,1.0,3.0,577.1999999999999,0.0,1.0,597.5,1.4,149.6,522.2,400,400,149.6,551,5361.631904357826,9.993341452324455e-05,7.481541684543302e-06
33,1,0,1,1,1,40,43,666.8,41,565.9,1000.0,100.89999999999998,6.0,339.98333333333335,0.3333333333333333,1.0,2.0,497.29999999999995,0.0,1.0,419.6,1.4,255.9,356.8,400,400,255.9,356.8,2276.6128671921506,0.00011981486145614897,5.310221906913727e-06
34,1,1,1,1,1,35,38,1007.2,36,518.4,1000.0,488.80000000000007,6.0,303.48333333333335,0.3333333333333333,1.0,4.0,816.75,0.25,1.0,920,1.4,208.4,677.4,400,400,208.4,697.2,7025.000558965944,7.481614052889539e-05,5.205711968784109e-06
35,1,0,1,1,1,55,58,911.8,56,431.9,1000.0,479.9,4.0,276.475,0.5,1.0,8.0,679.875,0.3625,1.0,656.4,1.4,121.9,601.8,400,400,121.9,601.8,5286.447425913762,0.00010105648992946275,9.17383747721022e-06
35,1,0,1,1,1,70,73,621.4,71,310,1000.0,311.4,3.0,183.83333333333334,0.3333333333333333,1.0,6.0,391.63333333333327,0.5416666666666666,1.0,469.4,1.4,0.0,311.4,400,400,0,311.4,2369.985190682576,0.00012087119667429775,1.5881656472940186e-05
37,1,1,1,1,1,19,22,844.2,20,480.4,1000.0,363.80000000000007,2.0,187.0,0.0,-1.0,4.0,634.375,0.25,1.0,651.7,1.4,170.4,527.8,400,400,170.4,534.2,5045.320864705724,0.00010459825367538939,7.542205086162772e-06
41,1,0,1,1,1,69,72,584.8,70,584.8,1000.0,0.0,3.0,322.76666666666665,0.6666666666666666,1.0,1.0,274.8,0.3333333333333333,1.0,470.4,1.4,274.8,274.8,400,400,274.8,274.8,2596.0313622900794,0.00012270307354786256,0.0
42,1,3,1,1,1,12,17,952.5,13,524.1,1000.0,428.4,4.0,297.79999999999995,0.0,1.0,5.0,588.54,0.2,1.0,574.8,1.4,214.1,510.4,400,400,214.1,622.5,5089.400890812065,0.00010395873269529418,8.750719788465685e-06
43,1,0,1,1,1,13,16,420.7,14,420.7,1000.0,0.0,6.0,287.25,0.0,1.0,5.0,274.26000000000005,0.1,1.0,199.6,1.4,110.7,110.7,400,400,110.7,110.7,871.112651152576,7.356628250103494e-05,0.0
45,1,0,112,2,2,60,,2713.8,,2709.3,1000.0,4.5,0.017857142857142856,528.45,0.5,-0.008928571428571428,21.0,651.7619047619048,0.41428571428571426,1.0,692.9,1.4,4.547321428571428,472.7,550,400,509.3,513.8,4039.5625629528977,0.00011747338048016191,1.308632318283252e-07
47,1,0,1,1,1,59,62,883.5,60,443.6,1000.0,439.9,8.0,306.51250000000005,0.5,1.0,2.0,602.75,0.0,1.0,744.1,1.4,133.6,573.5,400,400,133.6,573.5,5296.741373423151,0.0001009031735480389,8.380115794684516e-06
48,116,0,1,2,1,50,,2571.8,51,601.8,1000.0,1970.0000000000002,2.0,338.0,0.5,1.0,0.008620689655172414,291.8,0.0,-0.008620689655172414,428.1,1.4,291.8,2.5155172413793103,400,400,291.8,291.8,2056.102663294772,0.00011654375917790899,0.00011166329856923371
49,1,0,1,1,1,32,35,734.5,33,405.6,1000.0,328.9,8.0,251.675,0.0,1.0,1.0,424.5,0.0,1.0,571.9,1.4,95.6,424.5,400,400,95.6,424.5,3153.3634447207733,0.00012355994118149434,1.2887466150668215e-05
50,8,8,1,1,1,21,45,3417.1,22,378.8,1000.0,3038.2999999999997,3.0,245.4333333333333,0.3333333333333333,1.0,1.125,704.1222222222223,0.08333333333333333,-0.75,732.8,1.4,68.8,692.5,400,400,68.8,797.1,4308.407789430874,0.00011445535199015649,8.07142018461602e-05
52,1,0,1,1,1,46,49,1049.2,47,620.8,1000.0,428.4000000000001,1.0,310.8,1.0,-1.0,5.0,853.72,0.15,1.0,897.3,1.4,310.8,739.2,400,400,310.8,739.2,7252.20072179476,7.155145012394968e-05,4.226667519140892e-06
56,1,0,1,1,1,6,9,501.6,7,501.6,1000.0,0.0,3.0,257.90000000000003,0.0,1.0,6.0,334.70000000000005,0.0,1.0,304.6,1.4,191.6,191.6,400,400,191.6,191.6,1604.4847161000453,0.00010587022954726823,0.0
59,1,2,1,1,1,58,62,869.9,59,442.8,1000.0,427.09999999999997,9.0,249.55555555555554,0.6666666666666666,1.0,4.0,521.5,1.0,1.0,355.1,1.4,132.8,488.5,400,400,132.8,549.9,3169.799330442644,0.00012351897803461963,1.66429953505035e-05
62,1,0,1,1,1,7,10,461.7,8,461.7,1000.0,0.0,4.0,274.675,0.0,1.0,4.0,269.975,0.0,1.0,239,1.4,151.7,151.7,400,400,151.7,151.7,1463.374656129688,0.00010125440720578884,0.0
62,1,0,1,1,1,57,60,592.9,58,578.4,1000.0,14.5,6.0,312.96666666666664,0.5,1.0,4.0,330.025,1.0,1.0,470.3,1.4,268.4,282.9,400,400,268.4,282.9,2845.0698489362235,0.0001236650378787032,6.302632780392564e-07
63,123,0,1,2,1,36,,3099.8,37,484.6,1000.0,2615.2000000000003,6.0,311.95,0.16666666666666666,1.0,0.008130081300813009,679.8,0.0,-0.008130081300813009,892.7,1.4,174.6,5.5268292682926825,400,700,174.6,679.8,6683.803073724932,7.984194383481003e-05,3.124009627656908e-05
67,1,0,1,1,1,20,23,685.2,21,454.1,1000.0,231.10000000000002,6.0,283.8666666666667,0.16666666666666666,1.0,7.0,616.2428571428572,0.2857142857142857,1.0,542.5,1.4,144.1,375.2,400,400,144.1,375.2,4007.0606827162223,0.00011780954619614593,6.794453161980587e-06
