Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,25.758333333333333,1,,0,0,25.758333333333333
2,1.0,15.0,1,1.0,77.09791666666666,2,-62.09791666666666
4,1.0,24.12708333333333,1,1.0,28.90416666666667,1,-4.777083333333337
5,1.0,16.147916666666667,1,,0,0,16.147916666666667
6,1.0,52.72291666666666,2,0.6666666666666666,63.78333333333333,2,-11.060416666666669
7,1.0,16.366666666666667,1,,0,0,16.366666666666667
8,,0,0,1.0,27.952083333333334,1,-27.952083333333334
11,1.0,24.145833333333332,1,1.0,102.73333333333332,5,-78.58749999999999
12,1.0,77.24374999999999,3,,0,0,77.24374999999999
13,1.0,15.0,1,1.0,45.05208333333333,2,-30.05208333333333
14,1.0,18.849999999999998,1,1.0,63.08749999999999,3,-44.2375
15,1.0,82.81875,4,,0,0,82.81875
16,1.0,16.66875,1,0.6666666666666666,61.89583333333333,2,-45.227083333333326
17,1.0,55.03125,2,1.0,15.79375,1,39.2375
20,1.0,40.912499999999994,2,1.0,47.827083333333334,2,-6.91458333333334
21,1.0,21.579166666666666,1,,0,0,21.579166666666666
23,1.0,20.302083333333332,1,1.0,15.302083333333332,1,5.0
25,1.0,37.8125,2,1.0,73.29166666666666,3,-35.47916666666666
26,,0,0,0.5,15.0,1,-15.0
27,1.0,31.916666666666664,1,,0,0,31.916666666666664
28,1.0,54.87083333333333,2,1.0,43.08749999999999,2,11.783333333333339
29,,0,0,1.0,56.65208333333334,2,-56.65208333333334
30,1.0,24.958333333333332,1,1.0,22.93125,1,2.0270833333333336
32,1.0,46.59791666666666,2,1.0,36.525,1,10.072916666666664
34,1.0,44.34583333333333,2,1.0,47.307291666666664,2,-2.961458333333333
35,,0,0,0.5,23.93125,1,-23.93125
37,1.0,49.508333333333326,2,1.0,27.258333333333333,1,22.249999999999993
39,1.0,58.425,2,1.0,27.525,1,30.9
40,,0,0,1.0,15.0,1,-15.0
42,1.0,45.36875,2,1.0,17.75,1,27.61875
44,1.0,135.67083333333332,6,1.0,15.0,1,120.67083333333332
45,1.0,31.860416666666666,2,1.0,39.15833333333333,2,-7.297916666666666
46,1.0,46.90833333333333,2,1.0,88.41458333333333,3,-41.506249999999994
47,1.0,43.258333333333326,2,1.0,65.78958333333333,3,-22.53125
