Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
1,1,0,1,1,1,62,65,678.9,63,397.7,1000.0,281.2,2.0,241.2,0.5,1.0,8.0,523.85,0.75,1.0,391.5,1.4,87.7,368.9,400,400,87.7,368.9,2813.132899870496,0.0001235979123211059,1.2354813719001677e-05
5,1,0,1,1,1,60,63,414.8,61,414.8,1000.0,0.0,11.0,290.32727272727277,0.45454545454545453,1.0,9.0,368.8555555555556,0.7777777777777778,1.0,324.9,1.4,104.8,104.8,400,400,104.8,104.8,1535.3089732763451,0.00010369136076599377,0.0
6,1,0,1,1,1,16,19,325.2,17,325.2,1000.0,0.0,3.0,139.33333333333334,0.0,1.0,3.0,139.33333333333334,0.0,1.0,161.8,1.4,15.2,15.2,400,400,15.2,15.2,543.9655226930367,5.128392201936771e-05,0.0
7,121,0,1,2,1,39,,2580.6,40,500.6,1000.0,2080.0,4.0,295.79999999999995,0.0,1.0,5.049586776859504,349.22176759410667,0.20294599018003273,0.9917355371900827,379.3,1.4,190.6,189.02479338842952,400,400,190.6,190.6,1855.0794745014314,0.00011250760263853086,0.00012614867271443342
10,1,0,1,1,1,14,17,537,15,537,1000.0,0,6.0,307.75000000000006,0.16666666666666666,1.0,5.0,348.73999999999995,0.0,1.0,334.3,1.4,227.0,227.0,400,400,227,227,809.5922830741584,6.980084817645536e-05,0.0
11,1,0,1,1,1,35,38,561.8,37,384.2,1000.0,177.59999999999997,1.0,64.2,1.0,2.0,4.0,318.525,0.0,1.0,347.2,1.4,64.2,251.8,400,400,64.2,251.8,1998.3208551423913,0.00011549228920500669,1.0264332932334649e-05
12,1,0,1,1,1,30,33,517.1,31,517.1,1000.0,0.0,5.0,343.48,0.0,1.0,1.0,207.1,0.0,-1.0,414.6,1.4,207.1,207.1,400,400,207.1,207.1,2336.46623331629,0.00012051323870220274,0.0
12,1,0,1,1,1,69,72,883.5,70,310,1000.0,573.5,16.0,316.625,0.5625,1.0,8.0,897.1625000000001,0.75,1.0,914.2,1.4,0.0,573.5,400,400,0,573.5,5793.4587422397835,9.337909117910241e-05,9.243685192882099e-06
13,1,0,1,1,1,46,49,566.9,47,453.1,1000.0,113.79999999999995,14.0,267.74285714285713,0.2857142857142857,1.0,3.0,381.1000000000001,0.0,1.0,531.1,1.4,143.1,256.9,400,400,143.1,256.9,3283.5175195452916,0.0001231470017822983,4.2680231548654106e-06
15,1,0,1,1,1,45,48,988.9,46,447.5,1000.0,541.4,9.0,310.8666666666666,0.4444444444444444,1.0,3.0,775.9666666666666,0.3333333333333333,-1.0,679.4,1.4,137.5,678.9,400,400,137.5,678.9,4030.974992356337,0.00011756285286534142,1.5789859441447342e-05
16,1,0,1,1,1,0,3,681.6,1,450.8,1000.0,230.8,3.0,223.29999999999998,0.0,1.0,1.0,371.6,0.0,1.0,449.9,1.4,140.8,371.6,400,400,140.8,371.6,3569.158937254232,0.00012159344787611571,7.86285179874816e-06
20,1,0,1,1,1,70,73,710.8,71,482.3,1000.0,228.49999999999994,3.0,284.1333333333334,1.0,1.0,5.0,521.8199999999999,0.6,1.0,501.3,1.4,172.3,400.8,400,400,172.3,400.8,3475.8782079244243,0.00012219115388819118,8.032697635894483e-06
22,1,0,1,1,1,50,53,448.7,51,448.7,1000.0,0.0,6.0,271.5166666666667,0.3333333333333333,1.0,6.0,274.75,0.5,1.0,250.5,1.4,138.7,138.7,400,400,138.7,138.7,1000.7412792389591,8.090659554307303e-05,0.0
23,1,0,1,1,1,53,56,901.1,54,568.7,1000.0,332.4,5.0,320.16,0.4,1.0,11.0,787.0818181818183,0.7272727272727273,1.0,720.4,1.4,258.7,591.1,400,400,258.7,591.1,3644.3796085882586,0.00012105313595150614,1.1041128178704704e-05
25,1,0,1,1,1,42,45,910.2,43,379.6,1000.0,530.6,3.0,212.86666666666667,0.6666666666666666,1.0,3.0,747.9666666666667,0.0,1.0,715.2,1.4,69.6,600.2,400,400,69.6,600.2,5335.471076580051,0.00010032503783561256,9.977088116781088e-06
25,1,0,1,1,1,63,66,666.7,64,460.8,1000.0,205.90000000000003,9.0,231.27777777777771,0.4444444444444444,1.0,4.0,382.79999999999995,0.5,1.0,377.6,1.4,109.6,356.7,400,400,150.8,356.7,2425.81536886562,0.00012141618379193246,1.0305645088912689e-05
26,1,0,1,1,1,33,36,893.7,34,373.3,1000.0,520.4000000000001,2.0,77.25,1.0,1.0,4.0,680.5,0.25,-1.0,708.3,1.4,63.3,561.2,400,400,63.3,583.7,6256.23742496165,8.629785603352285e-05,7.178340786854104e-06
28,1,0,1,1,1,43,46,466,44,423.1,1000.0,42.89999999999998,4.0,179.325,0.0,1.0,2.0,208.9,0.5,-1.0,304.2,1.4,113.1,156.0,400,400,113.1,156,2343.6021992893434,0.00012059141223510926,2.2074444146088102e-06
30,1,0,1,1,1,21,24,646.4,22,471.1,1000.0,175.29999999999995,2.0,248.75,0.0,1.0,2.0,364.65,0.0,1.0,392.8,1.4,161.1,336.4,400,400,161.1,336.4,2815.110634066693,0.0001236025271223514,7.696863754603993e-06
30,1,0,1,1,1,52,55,310,53,310,1000.0,0,10.0,231.7,0.5,1.0,4.0,186.7,0.75,1.0,375.2,1.4,0.0,0.0,400,400,0,0,2127.561725803832,0.00011772920821596862,0.0
33,1,0,1,1,1,29,32,777.8,30,627.2,1000.0,150.5999999999999,9.0,385.3333333333333,0.4444444444444444,1.0,1.0,467.8,1.0,1.0,516.8,1.4,317.2,467.8,400,400,317.2,467.8,3042.218647060419,0.0001237472222339383,6.1259014655106006e-06
34,1,0,1,1,1,55,58,688.2,56,430.6,1000.0,257.6,7.0,297.4857142857143,0.5714285714285714,1.0,5.0,569.42,0.8,1.0,605.3,1.4,120.6,378.2,400,400,120.6,378.2,4348.93993307711,0.00011396718719844867,6.750598507703013e-06
35,1,0,1,1,1,12,15,1394.7,13,591.2,1000.0,803.5,3.0,318.5333333333333,0.0,1.0,2.0,1183.95,0.0,1.0,1021.8,1.4,281.2,1084.7,400,400,281.2,1084.7,9367.974236450475,4.535451052414131e-05,3.890099213163032e-06
