Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,1,0,1,1,1,9,12,617.4,10,461.3,1000.0,156.09999999999997,5.0,196.26000000000002,0.0,1.0,3.0,387.1666666666667,0.0,1.0,606,1.4,151.3,307.4,400,400,151.3,307.4,3632.5422681703512,0.00012114148144064279,5.205771566261518e-06
3,1,0,1,1,1,52,55,405.9,53,405.9,1000.0,0.0,10.0,269.51,0.5,1.0,12.0,290.89166666666665,0.5555555555555556,1.0,340,1.4,95.9,95.9,400,400,95.9,95.9,2045.0757655847945,0.00011634961966026241,0.0
4,1,0,1,1,1,35,38,592.1,36,531.8,1000.0,60.30000000000007,5.0,264.3,0.4,1.0,4.0,356.85,0.0,1.0,368.3,1.4,206.2,282.1,400,400,221.8,282.1,2427.7137589720883,0.0001214336102719573,3.0161903034645286e-06
5,1,0,129,2,2,26,,2924,,3109.6,1000.0,-185.5999999999999,0.031007751937984496,238.05,0.5,-0.023255813953488372,2.0,476.8,0.0,1.0,271,1.4,6.074418604651163,384.0,550,400,569.6,384,1614.5390560050382,0.00010617385946784614,-1.2205259602695383e-05
6,1,0,1,1,1,32,35,593.7,33,593.7,1000.0,0.0,2.0,382.85,0.0,-1.0,4.0,345.1,0.0,1.0,410.7,1.4,283.7,283.7,400,400,283.7,283.7,2690.7837024407336,0.00012319081311941616,0.0
7,1,0,1,1,1,38,41,1258.6,39,367.8,1000.0,890.8,3.0,142.13333333333335,0.6666666666666666,1.5,6.0,961.7166666666666,0.5,1.0,1004.9,1.4,57.8,882.4,400,400,57.8,948.6,8645.731909665792,5.337236086522751e-05,5.499141027677611e-06
8,1,0,2,1,1,17,22,669.5,20,717.6,1000.0,-48.10000000000002,1.0,87.6,1.0,2.0,2.0,402.35,0.0,1.0,487.4,1.4,87.6,339.5,400,400,87.6,339.5,3503.0925317150186,0.00012202534625554728,-1.6754964654097559e-06
10,131,0,1,2,1,20,,2719.8,21,449.8,1000.0,2270.0,5.0,212.87999999999997,0.2,1.0,0.007633587786259542,139.8,0.0,-0.007633587786259542,661.7,1.4,139.8,1.0671755725190841,400,400,139.8,139.8,3948.117103719962,0.00011840168929677075,6.807595307910944e-05
11,1,0,1,1,1,29,32,541,30,437.6,1000.0,103.39999999999998,6.0,213.63333333333333,0.5,1.0,5.0,468.41999999999996,0.6,1.0,397.7,1.4,127.6,231.0,400,400,127.6,231,3128.3869310852847,0.0001236157749886184,4.085770531392968e-06
11,1,0,1,1,1,63,66,536.2,64,310,1000.0,226.20000000000005,14.0,225.83571428571432,0.7142857142857143,1.0,5.0,279.26,0.7333333333333333,1.0,369.8,1.4,0.0,226.2,400,400,0,226.2,2990.417865401916,0.0001237788547636617,9.36283095131162e-06
12,3,2,1,1,1,11,22,1396.9,12,388,1000.0,1008.9000000000001,1.0,78.0,0.0,1.0,1.0,406.8999999999999,0.0,1.0,290.8,1.4,78.0,406.8999999999999,400,400,78,406.9,2400.994149965078,0.00012118169231402568,5.092066108424244e-05
12,117,0,1,2,1,47,,2577.5,48,405.6,1000.0,2171.9,4.0,266.57500000000005,0.75,1.0,0.9914529914529915,267.5,0.0,-0.9914529914529915,360,1.4,95.6,265.21367521367523,400,750,95.6,267.5,1918.6692429444222,0.00011390091585811027,0.0001289338431112775
14,1,0,1,1,1,53,56,1466.5,54,310,1000.0,1156.5,3.0,215.46666666666667,0.3333333333333333,1.0,3.0,1263.1000000000001,0.3333333333333333,1.0,1249.2,1.4,0.0,1156.5,400,400,0,1156.5,10869.429740236284,3.175241870715119e-05,3.3784359540854884e-06
15,1,0,1,1,1,5,8,487.3,6,487.3,1000.0,0.0,3.0,200.73333333333335,0.0,1.0,3.0,200.73333333333335,0.0,1.0,183.5,1.4,177.3,177.3,400,400,177.3,177.3,1129.9034616890267,8.746398002458968e-05,0.0
16,1,0,1,1,1,42,45,754.2,43,704.6,1000.0,49.60000000000002,3.0,440.90000000000003,0.6666666666666666,2.0,2.0,507.65,0.5,1.0,306.7,1.4,394.6,444.2,400,400,394.6,444.2,1651.1606626328723,0.00010725238025365568,3.2218052312963428e-06
16,1,0,1,1,1,61,64,535.3,62,315,1000.0,220.29999999999995,5.0,231.28000000000003,0.8,1.0,6.0,242.64999999999998,0.6944444444444445,1.0,129.1,1.4,5.0,5.0,550,400,5,225.3,773.3277880374085,6.749276423324946e-05,1.9226848162690887e-05
17,12,0,1,1,1,18,44,4414.4,19,490.7,1000.0,3923.7,3.0,281.3333333333333,0.0,1.0,1.0833333333333333,630.8,0.038461538461538464,-1.0,446.8,1.4,180.7,630.4083333333333,400,400,180.7,574.4,2061.5343405976905,0.00011663827281980031,0.00022199658868178989
18,1,0,1,1,1,19,22,580.7,20,543.5,1000.0,37.200000000000045,6.0,269.8833333333333,0.16666666666666666,1.0,5.0,320.91999999999996,0.0,1.0,327.4,1.4,125.1,270.7,400,400,233.5,270.7,1878.1169179275817,0.00011302527148648897,2.238699869620959e-06
19,18,0,1,1,1,15,53,6850.9,16,500.1,1000.0,6350.799999999999,5.0,286.9,0.0,1.0,3.0555555555555554,971.678181818182,0.4118181818181818,1.0,873.3,1.4,190.1,819.1000000000003,400,400,190.1,1090.9,5743.526558803951,9.414274338900965e-05,0.00010409662575660258
19,1,0,1,1,1,57,60,764.2,58,613,1000.0,151.20000000000005,1.0,303.0,1.0,-1.0,2.0,466.5,0.0,1.0,478.5,1.4,303.0,454.2,500,400,303,454.2,3290.004013852479,0.00012312126641334051,5.658332148932088e-06
19,1,0,1,1,1,68,71,1008.3,69,495.5,1000.0,512.8,8.0,247.725,1.0,1.0,1.0,698.3,1.0,1.0,729.8,1.4,0.0,698.3,400,400,185.5,698.3,5671.814279965028,9.523780826860124e-05,8.610639500777139e-06
20,1,0,1,1,1,48,52,950,49,490.7,1000.0,459.3,6.0,241.0333333333333,0.3333333333333333,1.0,2.0,733.0,0.08333333333333333,-1.0,839,1.4,180.7,630.0,400,400,180.7,630,6157.409345150388,8.780643888786696e-05,6.549750896935421e-06
22,1,0,1,1,1,3,6,487.8,4,487.8,1000.0,0.0,2.0,197.85000000000002,0.5,-1.0,2.0,236.85,0.0,1.0,418.5,1.4,177.8,177.8,400,400,177.8,177.8,2684.965626628951,0.00012316532221655889,0.0
