Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
5,1,0,1,1,1,52,55,634,53,488.9,1000.0,145.10000000000002,5.0,313.82,0.6,2.0,8.0,724.4499999999999,0.75,1.0,571.7,1.4,178.9,324.0,400,400,178.9,324,3687.1440510870157,0.00012072395583488806,4.750843945594699e-06
6,1,0,1,1,1,68,71,537.7,69,537.7,1000.0,0.0,5.0,347.02,0.6,1.0,2.0,229.39999999999998,0.5,1.0,231.6,1.4,227.7,227.7,400,400,227.7,227.7,1157.0052963045898,8.874888507279783e-05,0.0
7,1,0,1,1,1,7,10,419.4,8,419.4,1000.0,0.0,5.0,204.48000000000002,0.0,1.0,3.0,207.86666666666667,0.0,1.0,172.2,1.4,109.4,109.4,400,400,109.4,109.4,1148.2288851176645,8.833615797684154e-05,0.0
9,1,0,1,1,1,33,36,1023,34,562.1,1000.0,460.9,2.0,277.95,1.0,1.0,4.0,960.175,0.25,1.0,827.7,1.4,252.1,713.0,400,400,252.1,713,6077.8154044650255,8.90239273075021e-05,6.750966484747872e-06
10,1,0,1,1,1,55,58,712.1,56,591.9,1000.0,120.20000000000005,1.0,281.9,1.0,1.0,8.0,519.5500000000001,0.875,1.0,410.3,1.4,281.9,350.9,400,400,281.9,402.1,2539.0089665912597,0.00012233262977326198,5.7913864394450825e-06
10,1,0,1,1,1,64,67,575.2,65,310,1000.0,265.20000000000005,18.0,255.2888888888889,0.3333333333333333,1.0,8.0,373.575,0.625,1.0,484,1.4,0.0,265.2,400,400,0,265.2,3254.1466514936465,0.00012325755059188826,1.0044999785724191e-05
11,1,0,1,1,1,39,42,821.8,40,572.9,1000.0,248.89999999999998,3.0,337.1333333333333,0.6666666666666666,1.0,2.0,423.05,0.5,2.0,400.3,1.4,262.9,334.3,400,400,262.9,511.8,3621.953698717136,0.00012121947115354116,8.330180029855954e-06
12,1,0,1,1,1,45,48,820.5,46,550.8,1000.0,269.70000000000005,7.0,367.02857142857147,0.2857142857142857,1.0,2.0,642.35,0.5,1.0,591.1,1.4,240.8,510.5,400,400,240.8,510.5,3316.0433631154924,0.0001230132147666984,1.0004894505181739e-05
15,1,0,1,1,1,44,47,683.5,45,458.2,1000.0,225.3,4.0,262.675,0.5,1.0,9.0,480.21111111111117,0.5555555555555556,1.0,419.5,1.4,148.2,373.5,400,400,148.2,373.5,2844.548468178175,0.00012366406782005892,9.794705483680338e-06
16,117,0,1,2,1,47,,2592.2,48,397.7,1000.0,2194.5,8.0,257.025,0.125,1.0,0.008547008547008548,282.2,0.0,-0.008547008547008548,671.3,1.4,87.7,2.411965811965812,400,400,87.7,282.2,4977.743517492152,0.00010557062756090108,4.6542121217832046e-05
