Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,1,0,1,1,1,17,20,703.1,18,402,1400.0,301.1,22.0,212.62727272727273,0.13636363636363635,1.0,9.0,600.8888888888889,0.0,1.0,625.4,1.4,92.0,393.1,400,450,92,393.1,6131.635805609635,8.113644359981513e-05,3.984284772026733e-06
0,179,0,1,2,1,43,,4098.7,44,408.9,1400.0,3689.7999999999997,46.0,266.8152173913043,0.2760869565217391,1.0,0.00558659217877095,548.7,0.0,-0.00558659217877095,1308.3,1.4,98.9,3.0653631284916205,400,600,98.9,548.7,9318.541918837846,5.732543294181288e-05,2.2698763852862576e-05
2,1,0,169,2,2,66,,3954.9,,3926.4,1400.0,28.5,0.005917159763313609,586.4,1.0,-0.005917159763313609,1.0,614.9,0.0,-1.0,418.7,1.4,3.4698224852071005,614.9,600,650,586.4,614.9,2532.373809950341,7.958811240023754e-05,8.957055212363177e-07
3,188,0,3,2,1,20,,4134.6,28,1394.6,1400.0,2740.0000000000005,2.0,500.55,0.7857142857142857,-1.0,0.005319148936170213,414.6,0.0,-0.005319148936170213,708.4,1.4,414.6000000000001,2.2053191489361703,500,450,414.6,414.6,5068.670133482648,8.65930409629612e-05,4.6810095348519086e-05
4,190,7,1,2,1,8,,4475,9,408.9,1400.0,4066.1,28.0,252.18571428571425,0.07142857142857142,1.0,0.10526315789473684,966.8050000000001,0.00900735294117647,0.4105263157894737,1072,1.4,98.9,47.793157894736844,400,600,98.9,645,7488.431882713214,7.151744112782944e-05,3.8832838693660586e-05
5,2,3,1,1,1,12,23,1263,13,363.8,1400.0,899.2,11.0,273.6545454545455,0.22727272727272727,1.0,9.5,639.963157894737,0.013157894736842105,1.0,816.6,1.4,53.8,527.0,400,600,53.8,573,5074.078996658566,8.657283217870452e-05,1.5341954815121175e-05
5,154,0,1,2,1,93,,3792.4,94,597.2,1400.0,3195.2,1.0,287.2,1.0,-1.0,0.006493506493506494,742.4,0.0,-0.006493506493506494,596.7,1.4,287.2,4.820779220779221,400,750,287.2,742.4,4086.770817131801,8.840098755380607e-05,6.911540873489889e-05
6,176,0,14,2,1,24,,4078.5,52,4828.6,1400.0,-750.1000000000004,0.07142857142857142,348.6,1.0,-0.07142857142857142,0.005681818181818182,598.5,0.0,-0.005681818181818182,766.9,1.4,24.900000000000002,3.4005681818181817,400,600,348.6,598.5,5460.15017141013,8.490474704890811e-05,-1.1663974206214605e-05
7,1,1,1,1,1,22,27,961.6,23,419.7,1400.0,541.9000000000001,9.0,246.09999999999997,0.1111111111111111,1.0,7.0,577.9,0.04081632653061224,1.25,571.3,1.4,109.7,523.8,400,650,109.7,631.6,3959.5594253656013,8.830832825182398e-05,1.2085759535038383e-05
7,151,0,1,2,1,99,,3366.1,100,686.1,1400.0,2680.0,1.0,376.1,0.75,14.0,0.013245033112582781,526.55,0.0,-0.006622516556291391,516.6,1.4,376.1,2.490728476821192,650,400,376.1,376.1,3207.754624475471,8.570915116927716e-05,7.16078852730898e-05
