Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
1,1,0,1,1,1,62,65,631.1,63,436.3,1000.0,194.8,11.0,256.99090909090904,0.8181818181818182,1.4285714285714286,21.0,532.8380952380952,0.11837078265649695,1.0,440.6,1.4,123.8,321.1,400,550,126.3,321.1,2885.7941070653414,0.00012372811260013845,8.352029091575532e-06
2,1,0,1,1,1,36,39,421.6,37,421.6,1000.0,0.0,20.0,324.02000000000004,0.35,1.0,18.0,316.6222222222222,0.06018518518518518,1.0,218.9,1.4,111.6,111.6,400,400,111.6,111.6,650.1191335551772,5.914128902187688e-05,0.0
2,1,0,1,1,1,62,65,310,63,310,1000.0,0,45.0,284.9311111111112,0.6444444444444445,1.0,32.0,270.234375,0.09696744227994228,1.0,279.1,1.4,0.0,0.0,500,400,0,0,1723.4327397533755,0.0001092574268457962,0.0
2,1,2,1,1,1,76,80,916.1,77,310,1000.0,606.1,31.0,301.37741935483876,0.695852534562212,1.0,7.0,636.7857142857143,0.011904761904761904,1.0,676.4,1.4,0.0,493.2,400,600,0,596.1,4637.017160613152,0.00011029071802662958,1.4415992410755064e-05
3,193,0,1,2,1,16,,4788.4,17,732.1,1000.0,4056.2999999999997,2.0,371.65,0.4666666666666667,5.0,0.015544041450777202,922.3000000000001,0.0,-0.0051813471502590676,809.3,1.4,321.2,4.090155440414508,450,1000,422.1,968.4,6379.603176251305,8.44215370697338e-05,5.3677175735745456e-05
4,1,0,1,1,1,68,71,411.3,70,407.1,1000.0,4.199999999999989,48.0,251.01666666666662,0.6160714285714285,1.0,46.0,328.74130434782603,0.12899196214413605,1.0,288.9,1.4,87.1,101.3,400,400,87.1,101.3,1777.7142431788113,0.00011065894661416268,2.614411048135667e-07
6,1,0,1,1,1,3,6,474,5,404.3,1000.0,69.69999999999999,19.0,197.89999999999995,0.0,1.0,27.0,419.59999999999997,0.0,1.0,412.2,1.4,84.3,164.0,400,400,84.3,164,2705.7152455483824,0.00012325362605854602,3.1750487234067807e-06
6,1,0,1,1,1,15,18,310,16,310,1000.0,0,31.0,230.86129032258066,0.22580645161290322,1.0,15.0,280.96666666666664,0.06666666666666667,1.0,335.9,1.4,0.0,0.0,400,400,0,0,2190.638316899271,0.00011867397126286403,0.0
6,169,4,1,2,1,55,,3722.3,56,310,1000.0,3412.3,42.0,270.26428571428573,0.48979591836734687,1.0,0.10650887573964497,668.8555555555554,0.12297805767919619,-0.05325443786982249,1073.4,1.4,0.0,41.5792899408284,400,400,0,332.3,7257.929183345083,7.147007894809695e-05,3.3601505916346155e-05
7,1,0,1,1,1,8,12,513.9,10,513.9,1000.0,0.0,1.0,193.9,1.0,2.0,1.0,193.9,0.0,3.0,303.8,1.4,193.9,193.9,400,400,193.9,193.9,1825.2090154605387,0.00011181417588302754,0.0
7,19,160,1,1,1,25,164,8307.4,27,559.1,1000.0,7748.299999999999,2.0,432.90000000000003,0.2222222222222222,2.0,10.210526315789474,1311.8798969072163,0.11234397118580759,1.0657894736842106,1410.3,1.4,239.1,1191.1,450,1250,239.1,1237.4,9848.21795691353,4.056536394760086e-05,3.1915683715605184e-05
11,190,0,1,2,1,22,,4438,24,668.6,1000.0,3769.4,9.0,393.6000000000001,0.5111111111111111,1.25,0.005263157894736842,678.0,0.0,-0.005263157894736842,816.8,1.4,311.8,3.568421052631579,400,700,348.6,678,5570.8963843856345,9.677415889195899e-05,6.547968035265812e-05
