Driver ID,real_acc_rate,real_earnings,Real accepted rides,obf_acc_rate,obf_earnings,Obf accepted rides,Drivers RHS Util
0,1.0,23.487499999999997,1,,0,0,23.487499999999997
1,1.0,25.299999999999997,1,0.2,27.354166666666664,1,-2.054166666666667
2,1.0,19.318749999999998,1,1.0,132.08958333333334,5,-112.77083333333334
3,1.0,98.34791666666666,3,0.7142857142857143,165.9375,5,-67.58958333333334
4,,0,0,0.3333333333333333,39.75,2,-39.75
5,1.0,203.90937499999995,5,0.5,158.85208333333333,4,45.05729166666663
6,1.0,50.539583333333326,2,0.3333333333333333,75.95,3,-25.410416666666677
7,1.0,48.93125,2,1.0,68.175,3,-19.24375
8,1.0,52.09166666666666,3,,0,0,52.09166666666666
9,1.0,15,1,1.0,28.014583333333334,1,-13.014583333333334
10,1.0,45.791666666666664,2,1.0,90.60520833333334,3,-44.81354166666667
11,1.0,31.420833333333334,1,1.0,20.1875,1,11.233333333333334
12,1.0,43.675,2,0.25,66.95833333333333,3,-23.28333333333333
13,,33.74791666666667,1,,0,0,33.74791666666667
15,1.0,99.10833333333333,5,1.0,47.197916666666664,2,51.91041666666667
17,1.0,28.929166666666664,1,0.38461538461538464,104.06249999999999,5,-75.13333333333333
18,1.0,53.12916666666666,2,1.0,52.81666666666666,1,0.3125
19,,0,0,1.0,56.28333333333333,2,-56.28333333333333
20,1.0,89.0375,4,1.0,53.33541666666666,2,35.702083333333334
21,1.0,66.85729166666667,3,0.6666666666666666,94.50625000000001,4,-27.64895833333334
22,1.0,152.28541666666666,6,0.375,94.86874999999999,3,57.41666666666667
23,1.0,296.8166666666667,10,,0,0,296.8166666666667
24,,0,0,0.14285714285714285,42.391666666666666,1,-42.391666666666666
25,1.0,88.22083333333333,3,0.4,52.59375,2,35.62708333333333
26,1.0,15.0,1,1.0,18.31458333333333,1,-3.3145833333333314
28,1.0,78.77708333333332,4,1.0,51.631249999999994,2,27.14583333333333
29,1.0,137.20208333333332,5,0.36363636363636365,107.45416666666665,4,29.74791666666667
30,1.0,99.17916666666666,4,1.0,61.02083333333333,1,38.15833333333333
31,1.0,48.86666666666666,2,0.6666666666666666,59.66458333333333,2,-10.797916666666673
33,1.0,28.320833333333333,1,,0,0,28.320833333333333
34,1.0,119.19583333333333,5,1.0,48.25,2,70.94583333333333
