Rider ID,obfuscated_trials,obfuscated_extras,real_trials,obf_ride_complete,real_ride_complete,ride_request_time,obf_time_to_accept,obf_loc time to start ride,real_time_to_accept,real_loc time to start ride,generic_util,RHS_util,real_loc num drivers,real_loc avg_driver_dist,real_acc_rate,real_loc surge,obf_loc num drivers,obf_loc avg_driver_dist,obf_acc_rate,obf_loc surge,obf-real ETA,Privacy Level,Avg min real ETA,Avg min obf ETA,Real accept eta_tolerance,Obf accept eta_tolerance,Real accept_eta,Obf accept_eta,Euclidean QL,Expected Gen QL,Expected Tai QL
0,177,18,1,2,1,25,,4176.9,26,332.4,1000.0,3844.4999999999995,17.0,201.61176470588234,0.23529411764705882,1.0,0.22033898305084745,983.269230769231,0.023188848188848185,0.03954802259887006,1080.3,1.4,22.4,41.41751412429378,400,650,22.4,626.9,9812.944669392444,4.09026542767167e-05,1.602477744089566e-05
3,1,0,1,1,1,12,15,427.2,13,427.2,1000.0,0.0,12.0,231.79999999999998,0.25,1.0,8.0,351.8625,0.0,1.0,351.7,1.4,117.2,117.2,400,400,117.2,117.2,2617.2769926563988,0.00012282608573186665,0.0
3,1,0,1,1,1,49,52,432,50,432,1000.0,0,17.0,267.9529411764706,0.8235294117647058,1.0,19.0,284.5052631578947,0.2267268550163287,1.0,75.6,1.4,122.0,122.0,600,400,122,122,202.61658834196808,2.1427204003971793e-05,0.0
4,16,6,1,1,1,69,112,5813,70,327,1000.0,5486,30.0,270.8133333333334,0.7666666666666667,1.0,1.1875,600.2368421052631,0.14394459165691625,1.0,805.1,1.4,17.0,370.125,400,650,17,603,5516.0071743185,9.76067830174442e-05,9.707580043165119e-05
5,15,2,1,1,1,20,54,5497,21,476,1000.0,5021,21.0,334.7666666666667,0.23809523809523808,1.0,10.266666666666667,620.5948051948046,0.15686832372279275,1.0,583.7,1.4,166.0,398.8999999999999,400,950,166,677,4213.204127481668,0.00011556963136221925,0.0001377277486473334
6,1,0,1,1,1,26,29,355.6,27,355.6,1000.0,0.0,24.0,257.85833333333335,0.20833333333333334,1.0,17.0,261.3882352941177,0.13186274509803922,1.0,192.5,1.4,45.6,45.6,400,400,45.6,45.6,1598.2480539145358,0.00010568024361020204,0.0
6,1,0,1,1,1,37,41,725.8,38,310,1000.0,415.79999999999995,26.0,265.3538461538461,0.6153846153846154,1.0,2.0,410.75,0.19642857142857142,-1.0,565.3,1.4,0.0,405.8,400,450,0,405.8,3456.9011418738332,0.00012230247807658081,1.4710681126587535e-05
6,1,0,1,1,1,65,68,355.5,66,355.5,1000.0,0.0,33.0,237.73333333333335,0.696969696969697,1.0,13.0,145.4923076923077,0.11020400539631307,1.0,317.1,1.4,45.5,45.5,550,400,45.5,45.5,1780.4734403513423,0.00011072785406909785,0.0
7,1,0,1,1,1,62,66,414,64,414,1000.0,0,4.0,241.75,0.75,1.0,2.0,106.0,0.25,6.0,158.5,1.4,94.0,94.0,650,400,94,94,877.5784628390207,7.395126537442443e-05,0.0
7,4,0,1,1,1,87,97,1500.8,89,540.8,1000.0,960.0,16.0,355.09375,0.625,1.0,2.0,195.54999999999998,0.1433463847365449,8.0,333.1,1.4,170.3,170.3,400,450,220.8,220.8,1950.7145824606864,0.00011456134676805903,5.6378772110580205e-05
8,1,0,1,1,1,61,64,563.2,63,474.2,1000.0,89.00000000000006,27.0,289.93333333333334,0.6296296296296297,1.0,9.0,350.9222222222222,0.06913580246913581,1.0,480.3,1.4,154.2,213.0,400,400,154.2,253.2,2510.5203566205655,0.00012212506532968348,4.329433452183943e-06
